Teks_Asli,Cleaned_Message,Label_Validasi
kalo service baterai laptop asus bisa min?,kalo service baterai laptop asus bisa min,lainnya
"Anda belum memiliki aplikasi myIM3 untuk mengaktifkan perlindungan Anti Spam dan Scam dari SATSPAM+. Harap mendownload aplikasi myIM3 untuk mengaktifkan layanan, tanpa biaya apapun.",anda belum memiliki aplikasi myim untuk mengaktifkan perlindungan anti spam dan scam dari satspam harap mendownload aplikasi myim untuk mengaktifkan layanan tanpa biaya apapun,lainnya
"🔄 *Pesan pengingat agar nomormu aman*

Pastikan pulsa kamu selalu cukup untuk tetap menikmati koneksi IM3. Informasi dan layanan isi ulang pulsa dapat diakses langsung lewat IM3 WhatsApp.

Klik *Isi Pulsa* untuk melanjutkan.",pesan pengingat agar nomormu aman pastikan pulsa kamu selalu cukup untuk tetap menikmati koneksi im informasi dan layanan isi ulang pulsa dapat diakses langsung lewat im whatsapp klik isi pulsa untuk melanjutkan,setuju
"🔄 *Pesan pengingat agar nomormu aman*

Pastikan pulsa kamu selalu cukup untuk tetap menikmati koneksi IM3. Informasi dan layanan isi ulang pulsa dapat diakses langsung lewat IM3 WhatsApp.

Klik *Isi Pulsa* untuk melanjutkan.",pesan pengingat agar nomormu aman pastikan pulsa kamu selalu cukup untuk tetap menikmati koneksi im informasi dan layanan isi ulang pulsa dapat diakses langsung lewat im whatsapp klik isi pulsa untuk melanjutkan,setuju
Iya bg,iya bg,lainnya
min sy mau jual laptop bisa ka,min sy mau jual laptop bisa ka,lainnya
oke kak terimakasi,oke kak terimakasi,setuju
okey bang terimakasih,okey bang terimakasih,setuju
malam kak,malam kak,lainnya
mau coba nanya dulu,mau coba nanya dulu,lainnya
"kira kira kalo saya mau jual macbook pro 2017 touchbar 15"", dapat di berapa ya?",kira kira kalo saya mau jual macbook pro touchbar dapat di berapa ya,lainnya
"minus hanya shadow tipis pink, dan port hanya bisa 1 untuk charging, port lain pemindahan data",minus hanya shadow tipis pink dan port hanya bisa untuk charging port lain pemindahan data,lainnya
lagi berhalangan untuk datang ke tokonsoalnya 🙏🏾,lagi berhalangan untuk datang ke tokonsoalnya,lainnya
"oke kak, thankyou",oke kak thankyou,setuju
permisi bg,permisi bg,lainnya
laptop ny atas nama martilan,laptop ny atas nama martilan,lainnya
besok ya bg sepulang kuliah,besok ya bg sepulang kuliah,lainnya
kalau boleh tau buka dri jam brp bg?,kalau boleh tau buka dri jam brp bg,setuju
Oke bg,oke bg,setuju
Udah bisa di ambil kah bg laptop nya?,udah bisa di ambil kah bg laptop nya,lainnya
tes,tes,lainnya
tes,tes,lainnya
Test bang,test bang,lainnya
"Tapi dah di matikan kkye idupkan bagus agek, tapi Jak Daan lamak bang paling 10/20 manit kkye lakat agek gie",tapi dah di matikan kkye idupkan bagus agek tapi jak daan lamak bang paling manit kkye lakat agek gie,lainnya
Ok bng,ok bng,lainnya
Biase ape Nye lah bang ii,biase ape nye lah bang ii,lainnya
Bang,bang,lainnya
Jam berape bise ddi ambek,jam berape bise ddi ambek,lainnya
Windows udah di update ke bang,windows udah di update ke bang,lainnya
Ndak di update windows 11 ye bang. ada ngefreeze lagi nda  bang pas di cek,ndak di update windows ye bang ada ngefreeze lagi nda bang pas di cek,lainnya
Jadi ape Nye lah bang,jadi ape nye lah bang,lainnya
Kalau pake windows 11 masih nda die ye bang,kalau pake windows masih nda die ye bang,lainnya
"Coba di instalkan windows 11 dulu bang, soalnya kata pemilik sebelumnya, sebelum dia reset ke windows 10 tu ga ada masalah",coba di instalkan windows dulu bang soalnya kata pemilik sebelumnya sebelum dia reset ke windows tu ga ada masalah,lainnya
Bentar ye bang,bentar ye bang,lainnya
Bang kalau memang processor yang rusak bisa di betulkan kah bang? Berape la kalau betulkan Nye tu ye,bang kalau memang processor yang rusak bisa di betulkan kah bang berape la kalau betulkan nye tu ye,lainnya
Pas Abang cek SSD nya dak Ade masalah ke bang kemarin,pas abang cek ssd nya dak ade masalah ke bang kemarin,lainnya
kamek sie dolok jak bentar lagi bang,kamek sie dolok jak bentar lagi bang,lainnya
tahan jak lok bang,tahan jak lok bang,lainnya
"Bang, kalau misal Nye maseh ngefreeze padahal dah di matikan Intel uhd ye gimane la bang i",bang kalau misal nye maseh ngefreeze padahal dah di matikan intel uhd ye gimane la bang i,lainnya
Sian harapan ke dah ratinye selaing ganti masen,sian harapan ke dah ratinye selaing ganti masen,setuju
Selamat Pagi 🙏😊,selamat pagi,lainnya
"Maaf Sya Mau Tanya,,",maaf sya mau tanya,lainnya
"di Sini bisa Jual Laptop Seken,,",di sini bisa jual laptop seken,lainnya
Ram nya Cuma 2,ram nya cuma,lainnya
"Oh Iya Bang,,",oh iya bang,lainnya
"Makasih,,",makasih,lainnya
Permisi bang,permisi bang,lainnya
Ada mines nya gak bang,ada mines nya gak bang,lainnya
Oke bang hari ni saya datang ke store,oke bang hari ni saya datang ke store,setuju
"Permisi bang,ni laptop sinyal nya lemot,trs wifi nya sering tersambung ulang,sering disconnect, padahall wifi saya pake di hp lancar""aja ntar sore bisa kah bang saya bawa laptop nya di sana,buat di seting""biar gak lemot Singal nya",permisi bangni laptop sinyal nya lemottrs wifi nya sering tersambung ulangsering disconnect padahall wifi saya pake di hp lancaraja ntar sore bisa kah bang saya bawa laptop nya di sanabuat di setingbiar gak lemot singal nya,lainnya
Oke bang ntar sore saya ke sana,oke bang ntar sore saya ke sana,setuju
Toko nya tutup jam brp an bang,toko nya tutup jam brp an bang,lainnya
permisi kakk,permisi kakk,lainnya
kak Nerima jual laptop gaa,kak nerima jual laptop gaa,lainnya
saya mau jual laptop,saya mau jual laptop,lainnya
okey kak,okey kak,setuju
Kk,kk,lainnya
Asus Vivobook A416JA terima jual brp kk?,asus vivobook aja terima jual brp kk,lainnya
Permisi,permisi,lainnya
Selamat siang bg izin bertanya apakah laptop yang harganya 2 juta masih ada,selamat siang bg izin bertanya apakah laptop yang harganya juta masih ada,lainnya
Yg lain tidak ada kah bg,yg lain tidak ada kah bg,lainnya
Yg ini berharga bg,yg ini berharga bg,lainnya
Yg juta aja bg,yg juta aja bg,lainnya
Skripsi sih bg,skripsi sih bg,lainnya
Yg ini,yg ini,lainnya
Sama ini,sama ini,lainnya
Baiklah bg nanti kalau jd saya infokn,baiklah bg nanti kalau jd saya infokn,lainnya
Saya mau cari yg 2 juta,saya mau cari yg juta,lainnya
Info aja bg kalau ada laptop yg harga 2 juta ya,info aja bg kalau ada laptop yg harga juta ya,lainnya
Ok bg nanti saya infokn lagi ya,ok bg nanti saya infokn lagi ya,lainnya
Oo iya permisi ya bang kalau hari ini mungkin saya blm bisa ngambil soalnya lagi pergi ngk di pontianak,oo iya permisi ya bang kalau hari ini mungkin saya blm bisa ngambil soalnya lagi pergi ngk di pontianak,lainnya
Mungkin besok baru saya bisa ambil🙏🙏,mungkin besok baru saya bisa ambil,lainnya
Permisi bang maaf sebelum nya itu kalau misal nya saya blm bisa ambil sekarang ngk papa bang hujan soalnya🙏🙏,permisi bang maaf sebelum nya itu kalau misal nya saya blm bisa ambil sekarang ngk papa bang hujan soalnya,lainnya
Tapi saya usahain malam ini kalau bs,tapi saya usahain malam ini kalau bs,lainnya
Oky makasih bang ya,oky makasih bang ya,lainnya
"siang bang, mau tanya untuk laptop ultrabook yang 2jtaan ada ga bang",siang bang mau tanya untuk laptop ultrabook yang jtaan ada ga bang,lainnya
maaf kak kepencet,maaf kak kepencet,lainnya
malam min,malam min,lainnya
saya mau jual ssd,saya mau jual ssd,lainnya
oke min,oke min,setuju
Baik bang saya teruskan dulu k abg saya yaa,baik bang saya teruskan dulu k abg saya yaa,lainnya
Itu termasuk yang bermasalah pas mau di hidup kan itu kah bang?,itu termasuk yang bermasalah pas mau di hidup kan itu kah bang,lainnya
Ooo gitu,ooo gitu,lainnya
Bang perbaikannya ada garansi engak kata abng saya,bang perbaikannya ada garansi engak kata abng saya,lainnya
Oke bang lanjut perbaiki,oke bang lanjut perbaiki,setuju
Siap bang,siap bang,lainnya
Intinya leptop tu bang yang bermasalah awalnya cuma mau ngidupin nya jak sulit kadang langusng hidup kadang harus di buka tutup-buka tutup dulu baru hidup kata abng saya,intinya leptop tu bang yang bermasalah awalnya cuma mau ngidupin nya jak sulit kadang langusng hidup kadang harus di buka tutupbuka tutup dulu baru hidup kata abng saya,lainnya
Ooo gitu oke lah bang,ooo gitu oke lah bang,setuju
"Bang izin bertanya kira"" Kapan selesai nya yaa?",bang izin bertanya kira kapan selesai nya yaa,lainnya
Kira Kira minggu udh bisa di ambil engak bang?,kira kira minggu udh bisa di ambil engak bang,lainnya
Baik bang,baik bang,lainnya
Baik bang,baik bang,lainnya
Soalnya Senin pagi mau di pake 😅,soalnya senin pagi mau di pake,lainnya
Bang besok dah bisa di ambil engak? 🙏,bang besok dah bisa di ambil engak,lainnya
Baik. Bang,baik bang,lainnya
Semoga baik baik saja 🤲😅,semoga baik baik saja,lainnya
Gimana bang belum bisa kah?,gimana bang belum bisa kah,lainnya
Baik bang saya otw sekarang,baik bang saya otw sekarang,lainnya
Bang untuk pembayaran nya bisa tf engak?,bang untuk pembayaran nya bisa tf engak,lainnya
Ok bg,ok bg,lainnya
waalaikumsalam,waalaikumsalam,lainnya
"boleh bang di betulkan aja, prosesnya cepat ga ya kira’?",boleh bang di betulkan aja prosesnya cepat ga ya kira,setuju
"rabu udah bisa betul blm bang, soalnya saya mau uts sorenya pake laptop",rabu udah bisa betul blm bang soalnya saya mau uts sorenya pake laptop,lainnya
okee bang,okee bang,setuju
bisa tf kah?,bisa tf kah,lainnya
oke bang,oke bang,setuju
file nya ga ilang kan bang?,file nya ga ilang kan bang,lainnya
nanti malam saya ambil,nanti malam saya ambil,lainnya
oke,oke,setuju
saya ambil besok ya bang,saya ambil besok ya bang,lainnya
malam ini saya ambil ya bg laptopnya,malam ini saya ambil ya bg laptopnya,lainnya
tutup jam brp bg?,tutup jam brp bg,lainnya
"Terima kasih telah menghubungi kami dengan Ade Saputra Perumahan, membantu masyarakat untuk memiliki perumahan yang di inginkan ya.",terima kasih telah menghubungi kami dengan ade saputra perumahan membantu masyarakat untuk memiliki perumahan yang di inginkan ya,lainnya
Oke baik Laksanakan,oke baik laksanakan,setuju
Kalu malm bisa diambil ndk bang,kalu malm bisa diambil ndk bang,lainnya
Soalnya Kalu sore ini masih ad kegiatan,soalnya kalu sore ini masih ad kegiatan,lainnya
Oh oke siap laksanakan.,oh oke siap laksanakan,setuju
Insyaallah malm sy ambil nya bang,insyaallah malm sy ambil nya bang,lainnya
Assalamualaikum warahmatullahi wabarokatuh,assalamualaikum warahmatullahi wabarokatuh,lainnya
Izin bang mau follow up leptop saya bang atas nama Ade Saputra,izin bang mau follow up leptop saya bang atas nama ade saputra,lainnya
Baik bang terimakasih,baik bang terimakasih,lainnya
Oke bang,oke bang,setuju
"Selamat malam bang maaf sblmnya menganggu, saya mau nanya nih kenapa ya smart gesture scroll 2 fingers d laptop saya jd nda berfungsi ya semenjak di install ulang kemarin, awalnya saya pikir karena laptop saya belum tersambung k internet makanya ada instalan ny blm selesai, tapi setelah kemarin tersambung k internet dan saya cb² lihat di laman pengaturan nya ttp nda bisa berfungsi itu kenapa ya?",selamat malam bang maaf sblmnya menganggu saya mau nanya nih kenapa ya smart gesture scroll fingers d laptop saya jd nda berfungsi ya semenjak di install ulang kemarin awalnya saya pikir karena laptop saya belum tersambung k internet makanya ada instalan ny blm selesai tapi setelah kemarin tersambung k internet dan saya cb lihat di laman pengaturan nya ttp nda bisa berfungsi itu kenapa ya,setuju
"Nah itu saya nda tau,
Itu dilihat nya darimna?",nah itu saya nda tau itu dilihat nya darimna,lainnya
Oke bg,oke bg,setuju
Yaudahh bg saya ambil aja laptop nya,yaudahh bg saya ambil aja laptop nya,lainnya
Oke bang saya jemput ke sana,oke bang saya jemput ke sana,setuju
ly042213 bang,ly bang,lainnya
"Baik bang, nanti sore diambilnya",baik bang nanti sore diambilnya,lainnya
oke bg,oke bg,setuju
Ok bang,ok bang,lainnya
"Oke bang, baru mau dichat padahal",oke bang baru mau dichat padahal,setuju
Jam 7 lewat nnti saya kesana bang ambilnya,jam lewat nnti saya kesana bang ambilnya,lainnya
Sore pak. Pasw 123456,sore pak pasw,lainnya
Yang positif service yang kecil dulu bg🙏🏻,yang positif service yang kecil dulu bg,lainnya
Siap bg,siap bg,lainnya
Insyaallah nanti saya ambil bg,insyaallah nanti saya ambil bg,lainnya
Bedanya di ganti sama servis apa nya bang,bedanya di ganti sama servis apa nya bang,setuju
Aku ambil aja bang,aku ambil aja bang,lainnya
oke bentar ya bang tanya bapak dulu,oke bentar ya bang tanya bapak dulu,setuju
kalau masalah tambah ram nya itu berapa ya bang biaya nya ?,kalau masalah tambah ram nya itu berapa ya bang biaya nya,lainnya
inii saja dulu bang di perbaiki masalah tambah ram nanti ya bang soal nya bapak belum ada di rumah,inii saja dulu bang di perbaiki masalah tambah ram nanti ya bang soal nya bapak belum ada di rumah,lainnya
jadi biaya nya 700 kan bang ?,jadi biaya nya kan bang,lainnya
untuk speker sama mesin nya ?,untuk speker sama mesin nya,lainnya
kalau ganti keyboard nya berapa bang ?,kalau ganti keyboard nya berapa bang,setuju
nanti yaa bang bapak belum on soal nya nanti kamek konfirmasi abang kalau ganti keyboard nya juga,nanti yaa bang bapak belum on soal nya nanti kamek konfirmasi abang kalau ganti keyboard nya juga,setuju
"yang bagian mesin sama speker nya saja dulu bang kalau gitu ga buru” sih bang, nanti tunggu bapak on kamek kabarin abang ya, jangan servis dulu gapapa bang siapa tau nanti bapak suruh ganti juga kebybord nya jadi ga sering bongkar pasang",yang bagian mesin sama speker nya saja dulu bang kalau gitu ga buru sih bang nanti tunggu bapak on kamek kabarin abang ya jangan servis dulu gapapa bang siapa tau nanti bapak suruh ganti juga kebybord nya jadi ga sering bongkar pasang,setuju
okey bang nanti kamek konfir masi abang ya,okey bang nanti kamek konfir masi abang ya,setuju
bang kalau sama keyboard nya jadi 1 juta ya semua nya ?,bang kalau sama keyboard nya jadi juta ya semua nya,lainnya
oke bang boleh bang ganti keyboard nya juga,oke bang boleh bang ganti keyboard nya juga,setuju
"jadi speker, mesin, keyboard yang di perbaiki ya bang ?",jadi speker mesin keyboard yang di perbaiki ya bang,lainnya
iya bang besok ngambil nya boleh kah tapi kalau nanti malam uang nya cepat di tf kamek ambil nanti malam bang,iya bang besok ngambil nya boleh kah tapi kalau nanti malam uang nya cepat di tf kamek ambil nanti malam bang,setuju
malam tutup jam berapa ya bang ?,malam tutup jam berapa ya bang,lainnya
oh iya bang yang kemaren sekalian ubah tampilan menu nya ya bang,oh iya bang yang kemaren sekalian ubah tampilan menu nya ya bang,lainnya
oke bang makasih,oke bang makasih,setuju
sip bang,sip bang,lainnya
misi bang udah selesai kah bang ?,misi bang udah selesai kah bang,lainnya
oke bang,oke bang,setuju
jangan bang,jangan bang,lainnya
takut data nya ilang,takut data nya ilang,lainnya
bang kamek ambil nya  boleh kah atau sore kamis karna posisi lagi di mempawah bang ambik data lapangan,bang kamek ambil nya boleh kah atau sore kamis karna posisi lagi di mempawah bang ambik data lapangan,setuju
oh boleh bang kalau gitu yang penting data nya ga ilang bang,oh boleh bang kalau gitu yang penting data nya ga ilang bang,setuju
okey bang maaf ya bang,okey bang maaf ya bang,setuju
iya bang ndapapa bang,iya bang ndapapa bang,lainnya
okey bang besok buka kah bang ? soal nya malam ni kamek balik pnk bang,okey bang besok buka kah bang soal nya malam ni kamek balik pnk bang,setuju
kalau besok buka besok kamek ambil nya bang takut ga keburu malam ni ambil nya,kalau besok buka besok kamek ambil nya bang takut ga keburu malam ni ambil nya,lainnya
okey bang maaf ya bang besok pasti kamek ambil bang,okey bang maaf ya bang besok pasti kamek ambil bang,setuju
bang jam berapa tutup ?,bang jam berapa tutup,lainnya
habis margrib bise kah kamek ambek e ?,habis margrib bise kah kamek ambek e,lainnya
oke bang,oke bang,setuju
misi bang,misi bang,lainnya
mau tanya di bang,mau tanya di bang,lainnya
kok data” di laptop nya kosong ya bang ?,kok data di laptop nya kosong ya bang,lainnya
bentar ya bang kamek cek,bentar ya bang kamek cek,lainnya
okey bang,okey bang,setuju
ad bang makasih ya,ad bang makasih ya,lainnya
Oke bag,oke bag,setuju
Baik bg,baik bg,lainnya
"baik lh, besok ya saya ambil🙏🏼",baik lh besok ya saya ambil,lainnya
stlh ini saya ambil ya kk,stlh ini saya ambil ya kk,lainnya
setelah ini ya kk🥲,setelah ini ya kk,lainnya
perbaikannya berapa lama ya bang?,perbaikannya berapa lama ya bang,lainnya
bagian mesinnya yang bermasalah apa ya bang?,bagian mesinnya yang bermasalah apa ya bang,lainnya
Okee bang,okee bang,setuju
ini sistemnya tf nanti ya bang? apa tf dulu?,ini sistemnya tf nanti ya bang apa tf dulu,lainnya
iyaa boleh bang,iyaa boleh bang,setuju
oke sore ya kak,oke sore ya kak,setuju
besok jak kak,besok jak kak,lainnya
iya santai jak kak,iya santai jak kak,lainnya
Lama gak perbaikannya min,lama gak perbaikannya min,lainnya
Kalau senin udah bisa dipakai bisa min diperbaiki,kalau senin udah bisa dipakai bisa min diperbaiki,lainnya
Usahakan lah minggu sudah selesai bisa gak min,usahakan lah minggu sudah selesai bisa gak min,lainnya
Iya min,iya min,lainnya
Iya kak,iya kak,lainnya
Yg gak bisa apa2 jak kak,yg gak bisa apa jak kak,lainnya
Kalau ganti keyboard brapa kak,kalau ganti keyboard brapa kak,setuju
Kalau ganti keyboard lama gak,kalau ganti keyboard lama gak,setuju
Bisa kurang lagi gak kak keyboard sama layarnya,bisa kurang lagi gak kak keyboard sama layarnya,lainnya
Iya lah kak,iya lah kak,lainnya
Ganti ajalah kak sekalian,ganti ajalah kak sekalian,setuju
Nanti kalau sudah selesai kasi tau ya kak,nanti kalau sudah selesai kasi tau ya kak,lainnya
Malam ini bisa gak kak,malam ini bisa gak kak,lainnya
Iya nanti kasi tau aja ya kak kalau udah selesai,iya nanti kasi tau aja ya kak kalau udah selesai,lainnya
Iya kak,iya kak,lainnya
Nanti dulu ya kak saya cari gojek dulu,nanti dulu ya kak saya cari gojek dulu,lainnya
Besok buka gak min pagi2,besok buka gak min pagi,lainnya
Okeee kk nnti saya ambil leptop nya,okeee kk nnti saya ambil leptop nya,setuju
ok sya kasi tau orng nya dlu ya,ok sya kasi tau orng nya dlu ya,lainnya
boleh katanya bg,boleh katanya bg,setuju
ok,ok,lainnya
ada biaya tambahan lg kah,ada biaya tambahan lg kah,lainnya
tanyak orng nya dlu ya,tanyak orng nya dlu ya,lainnya
ganti katanya bg,ganti katanya bg,setuju
okee,okee,setuju
buka smpe jamber bg,buka smpe jamber bg,lainnya
bg ada jual cas laptop nda,bg ada jual cas laptop nda,lainnya
klo cas laptop acer berapa,klo cas laptop acer berapa,lainnya
itu ada tipe nya nda si bg,itu ada tipe nya nda si bg,lainnya
apa semua nya sma,apa semua nya sma,lainnya
udah lama ga dihidupin si,udah lama ga dihidupin si,lainnya
ohh instal laptop kmren brp ya bg,ohh instal laptop kmren brp ya bg,lainnya
bkn ini laptop yg lain,bkn ini laptop yg lain,lainnya
besok buka jamber,besok buka jamber,lainnya
mlm ttp jam 9 juga ya,mlm ttp jam juga ya,lainnya
gmn bg laptop nya,gmn bg laptop nya,lainnya
kir besok udh selesai ga ya soalnya mau dipake,kir besok udh selesai ga ya soalnya mau dipake,lainnya
brp total ganti nya bg,brp total ganti nya bg,setuju
itu perlu diinstal ga,itu perlu diinstal ga,lainnya
oke gas bg,oke gas bg,setuju
gatau cba cek bg,gatau cba cek bg,lainnya
yauda ganti dlu aja bg,yauda ganti dlu aja bg,setuju
ganti bg,ganti bg,setuju
klo gnti brp bg,klo gnti brp bg,lainnya
keyboard nya,keyboard nya,lainnya
gausah kalik ya cmn 1 doang,gausah kalik ya cmn doang,lainnya
jdi total nya brp bg,jdi total nya brp bg,lainnya
okee,okee,setuju
klo dah selesai info bg,klo dah selesai info bg,lainnya
ok bg,ok bg,lainnya
bg kok laptop nya udh ga idup sma skli,bg kok laptop nya udh ga idup sma skli,lainnya
smlm masih bisa,smlm masih bisa,lainnya
udh ga bisa dipake lg ya,udh ga bisa dipake lg ya,lainnya
udh tdi ga hidup juga,udh tdi ga hidup juga,lainnya
"Siang, oke",siang oke,setuju
Klau yg baru berapa kak,klau yg baru berapa kak,lainnya
Ndk jadi ganti aja kak,ndk jadi ganti aja kak,setuju
Salah kak maksudnya jangan ganti,salah kak maksudnya jangan ganti,setuju
Makanya saya tidak ganti kak,makanya saya tidak ganti kak,setuju
Kak,kak,lainnya
Ok tq.,ok tq,lainnya
Tutup jam berapa.,tutup jam berapa,lainnya
Malam ya. Ok,malam ya ok,lainnya
Siang bang.,siang bang,lainnya
Ini laptop black lagi ya. Bisa di setting lagi. Balik lagi ke awal ne,ini laptop black lagi ya bisa di setting lagi balik lagi ke awal ne,lainnya
Coba sore di cek lagi ya.,coba sore di cek lagi ya,lainnya
Ok tq,ok tq,lainnya
Ganti ssd 128 gak kurang lagi.,ganti ssd gak kurang lagi,setuju
650 ya,ya,lainnya
Tetap 700 gak kurang juga,tetap gak kurang juga,lainnya
HHD internalnya bisa di casingin dak,hhd internalnya bisa di casingin dak,lainnya
Brp casingnya,brp casingnya,lainnya
Dan masih bisa di pakai sebagai external harddisk kan,dan masih bisa di pakai sebagai external harddisk kan,lainnya
Di keluarin aja,di keluarin aja,lainnya
Mau di jdikn harddisk keluar,mau di jdikn harddisk keluar,lainnya
Lepas aja gak masalah kan,lepas aja gak masalah kan,lainnya
Ok tq,ok tq,lainnya
Ok,ok,lainnya
Tolong dibersihkan bagian dalam ya.,tolong dibersihkan bagian dalam ya,lainnya
Pagi. Apa sdh selesai.,pagi apa sdh selesai,lainnya
Malam bang.. Hardisk yang ekternalnya kok gak bisa kebaca ya dari kemarin ya.,malam bang hardisk yang ekternalnya kok gak bisa kebaca ya dari kemarin ya,lainnya
Bisa dicek gak.,bisa dicek gak,lainnya
Iya tq besok saya bawa kesana tq,iya tq besok saya bawa kesana tq,lainnya
Ok tq besok sy ambil bang,ok tq besok sy ambil bang,lainnya
Tq,tq,lainnya
terimakasih kak,terimakasih kak,lainnya
Siapa,siapa,lainnya
Lama sekali ke bang die?,lama sekali ke bang die,lainnya
Iye bang,iye bang,lainnya
Oke bangg,oke bangg,setuju
Bentar lagi otw bang,bentar lagi otw bang,lainnya
Saya dari reformasi,saya dari reformasi,lainnya
okeii bg,okeii bg,setuju
bg saya tf byr ny,bg saya tf byr ny,lainnya
bole minta no rek ny?,bole minta no rek ny,lainnya
bg laptopnya blue screen lagi,bg laptopnya blue screen lagi,lainnya
nd bg,nd bg,lainnya
oke bg saya bawa ke sana,oke bg saya bawa ke sana,setuju
apakah ada yg perlu diperbaiki bg?,apakah ada yg perlu diperbaiki bg,lainnya
kmrn 450 ya bg keyboard ny?,kmrn ya bg keyboard ny,lainnya
laptonya udh boleh diambil kah bg,laptonya udh boleh diambil kah bg,setuju
ok bg nnt bpk saya yg ambil,ok bg nnt bpk saya yg ambil,lainnya
"bg kn kmrn saya nd pakai laptop sy trs pas baru saya pakai hri ini die tu tetap blue screen bg, nah itu tu knp ya",bg kn kmrn saya nd pakai laptop sy trs pas baru saya pakai hri ini die tu tetap blue screen bg nah itu tu knp ya,lainnya
tetap yg kmrn bg,tetap yg kmrn bg,lainnya
die misal sy kek tinggal bntr tu kan nah trs die blue screen lg bg,die misal sy kek tinggal bntr tu kan nah trs die blue screen lg bg,lainnya
die ad qr ny bg,die ad qr ny bg,lainnya
itu karna laptopnya panas jg bisa kah bg?,itu karna laptopnya panas jg bisa kah bg,lainnya
klo benerkn hardware kira” brp bg?,klo benerkn hardware kira brp bg,lainnya
kira” brp ya bg btlkn ny,kira brp ya bg btlkn ny,lainnya
soalny tiap saya tinggl bntr laptop tu tibe” blue screen trs file ny tu terapus yg udh saya kerjakan,soalny tiap saya tinggl bntr laptop tu tibe blue screen trs file ny tu terapus yg udh saya kerjakan,setuju
