text,clean_text,intent,source
Ini masalah kalau diangkat sedikit langsung eror kan ya layar laptopnya?,ini masalah kalau diangkat sedikit langsung eror kan ya layar laptopnya,lainnya,real
Tolong dibersihkan bagian dalam ya.,tolong dibersihkan bagian dalam ya,lainnya,real
Iyaa bg,iyaa bg,lainnya,real
Oo iya,oo iya,lainnya,real
ok bang nnti malam bisa saya ambil ga sekitar jam setengah 9,ok bang nnti malam bisa saya ambil ga sekitar jam setengah,lainnya,real
ok bntr bg,ok bntr bg,lainnya,real
"Baik terimakasih infonya, saya ambil besok pagi saja",baik terimakasih infonya saya ambil besok pagi saja,lainnya,real
po juga nd bise ke bg?,po juga nd bise ke bg,lainnya,real
baik bang,baik bang,lainnya,real
besok udah bisa ambilkan bang,besok udah bisa ambilkan bang,lainnya,real
Toko nya tutup jam brp an bang,toko nya tutup jam brp an bang,lainnya,real
klo cas laptop acer berapa,klo cas laptop acer berapa,lainnya,real
Bang laptop saya udh k?,bang laptop saya udh k,lainnya,real
Yg ini🙏🏻,yg ini,lainnya,real
Ini bg,ini bg,lainnya,real
Besok buka gak min pagi2,besok buka gak min pagi,lainnya,real
Dah same solder balek ke tuh bang?,dah same solder balek ke tuh bang,lainnya,real
Iya bg,iya bg,lainnya,real
Yallah e,yallah e,lainnya,real
Kalau bise cepat saye bayar lebih bg 😁🙏,kalau bise cepat saye bayar lebih bg,lainnya,real
Izin bang mau follow up leptop saya bang atas nama Ade Saputra,izin bang mau follow up leptop saya bang atas nama ade saputra,lainnya,real
Ok bng,ok bng,lainnya,real
Bg,bg,lainnya,real
"kan kemarin abg bilang buat bagi penyimpanan nya juga ke data D, tapi data D juga ada disitu ngaruh gak kira2 ke penyimpanan local disk C nya?",kan kemarin abg bilang buat bagi penyimpanan nya juga ke data d tapi data d juga ada disitu ngaruh gak kira ke penyimpanan local disk c nya,lainnya,real
bg ada jual cas laptop nda,bg ada jual cas laptop nda,lainnya,real
Pagi bang,pagi bang,lainnya,real
Gitu ya bang jadi bang lep top nya ndk bisa di betul kan??,gitu ya bang jadi bang lep top nya ndk bisa di betul kan,lainnya,real
yg putih bise bang,yg putih bise bang,lainnya,real
Ok nanti saya ke sana dulu,ok nanti saya ke sana dulu,lainnya,real
misa bg sya kemarin servis leptop ditempat abg atas nama maya leptop ya nd mau hidup lgi,misa bg sya kemarin servis leptop ditempat abg atas nama maya leptop ya nd mau hidup lgi,lainnya,real
bs po ndk bang,bs po ndk bang,lainnya,real
Bntar yee bang saye kesitu,bntar yee bang saye kesitu,lainnya,real
kir besok udh selesai ga ya soalnya mau dipake,kir besok udh selesai ga ya soalnya mau dipake,lainnya,real
Tibe2 bise die,tibe bise die,lainnya,real
"halo kak, waktunya berapa hari ya kak kira kira?",halo kak waktunya berapa hari ya kak kira kira,lainnya,real
Saya mau ambil jam 3 an tapi kira kira masih buka ga ya bang?,saya mau ambil jam an tapi kira kira masih buka ga ya bang,lainnya,real
iyaa bang konfirmasi lagi yaa,iyaa bang konfirmasi lagi yaa,lainnya,real
MLM saya ambil ya,mlm saya ambil ya,lainnya,real
Baik bg,baik bg,lainnya,real
Tetap 700 gak kurang juga,tetap gak kurang juga,lainnya,real
Windows udah di update ke bang,windows udah di update ke bang,lainnya,real
Kalau di install semua ga hilang kan ? Gada yg hilang gtu,kalau di install semua ga hilang kan gada yg hilang gtu,lainnya,real
Mungkin malam nanti saya ambil ya sebelum jam 9,mungkin malam nanti saya ambil ya sebelum jam,lainnya,real
Bentar ye bang,bentar ye bang,lainnya,real
karena memang dari laptopnya yang ndak mumpuni?,karena memang dari laptopnya yang ndak mumpuni,lainnya,real
bsk mungkin pagi atau sore saya ambil laptopnya,bsk mungkin pagi atau sore saya ambil laptopnya,lainnya,real
mana bang,mana bang,lainnya,real
Oky makasih bang ya,oky makasih bang ya,lainnya,real
bentar ya bang kamek cek,bentar ya bang kamek cek,lainnya,real
Tmbh itu,tmbh itu,lainnya,real
bangg,bangg,lainnya,real
jambrp tutup toko?,jambrp tutup toko,lainnya,real
Klw bisa semua semuanya si kak hm,klw bisa semua semuanya si kak hm,lainnya,real
permisi bang,permisi bang,lainnya,real
assalamualaikum bg untuk laptop saye gimne tu bg perkembangannye,assalamualaikum bg untuk laptop saye gimne tu bg perkembangannye,lainnya,real
Besok pagi/siang saye ambil bg,besok pagisiang saye ambil bg,lainnya,real
Jdi file ny bakalan hilang ya bg atau gmn,jdi file ny bakalan hilang ya bg atau gmn,lainnya,real
kira kira jam brapa bisa ambil bang?,kira kira jam brapa bisa ambil bang,lainnya,real
Ok kak makasih,ok kak makasih,lainnya,real
"Sore bang, anugerah komputer kalau malam tutup jam brpa ya?",sore bang anugerah komputer kalau malam tutup jam brpa ya,lainnya,real
Bang untuk pengecas nye tu Ade endk sekalian jual penyambung nye tu,bang untuk pengecas nye tu ade endk sekalian jual penyambung nye tu,lainnya,real
Kak apakah habis jumat slesai,kak apakah habis jumat slesai,lainnya,real
kamek sie dolok jak bentar lagi bang,kamek sie dolok jak bentar lagi bang,lainnya,real
Owh sipp bg,owh sipp bg,lainnya,real
tahan jak lok bang,tahan jak lok bang,lainnya,real
Ok,ok,lainnya,real
Bisa kurang gak bu?,bisa kurang gak bu,lainnya,real
Tes,tes,lainnya,real
"Nah itu, saya pun bingung bang kenapa malah keyboard nya jadi bermasalah, padahal sebelumnya nda pernah ada masalah",nah itu saya pun bingung bang kenapa malah keyboard nya jadi bermasalah padahal sebelumnya nda pernah ada masalah,lainnya,real
Buka sampe jam berapa bg,buka sampe jam berapa bg,lainnya,real
saya otw kak,saya otw kak,lainnya,real
"laptonya bisa diambil dulu nd kk, klo bisa nnti saya ambil tpi sudh di perbaiki blm",laptonya bisa diambil dulu nd kk klo bisa nnti saya ambil tpi sudh di perbaiki blm,lainnya,real
400 kan bg?,kan bg,lainnya,real
Iya gitu aja deh mba,iya gitu aja deh mba,lainnya,real
"Untuk perbaikannya, touchpad ya Bg?? Atau ada yg perlu diperbaiki lagi?",untuk perbaikannya touchpad ya bg atau ada yg perlu diperbaiki lagi,lainnya,real
Terimakasih yaa kk informasinyaa🙏🏻,terimakasih yaa kk informasinyaa,lainnya,real
Yg gak bisa apa2 jak kak,yg gak bisa apa jak kak,lainnya,real
Id upgrade Jak bg,id upgrade jak bg,lainnya,real
Bg bisa tf?,bg bisa tf,lainnya,real
permisi kak,permisi kak,lainnya,real
kalau keyboard 65% tu maksudnya gimanan bang,kalau keyboard tu maksudnya gimanan bang,lainnya,real
Bisa kurang gak bang?,bisa kurang gak bang,lainnya,real
Oh gitu kak. Btw kalau jual laptop bekas disini bisa gak kak?,oh gitu kak btw kalau jual laptop bekas disini bisa gak kak,lainnya,real
Bang,bang,lainnya,real
Krm lwt dana no 087753659474 bang,krm lwt dana no bang,lainnya,real
Saye ambil malam bise nd bg? Saye masih di tmpt krja,saye ambil malam bise nd bg saye masih di tmpt krja,lainnya,real
"saya ambil aja dl bang hr ini, nnt kl udh deal sm papa saya br saya kesana lagi",saya ambil aja dl bang hr ini nnt kl udh deal sm papa saya br saya kesana lagi,lainnya,real
Iya bang,iya bang,lainnya,real
Lepas aja gak masalah kan,lepas aja gak masalah kan,lainnya,real
"siap kak, nnti balik kesini lagi saya ambil nya kk",siap kak nnti balik kesini lagi saya ambil nya kk,lainnya,real
Saya otw kesana bg,saya otw kesana bg,lainnya,real
besok sya ambil yah bg,besok sya ambil yah bg,lainnya,real
Iya bg udh di pindahin,iya bg udh di pindahin,lainnya,real
Oh ok lh terimakasih ya Bg,oh ok lh terimakasih ya bg,lainnya,real
"bg, ttup?",bg ttup,lainnya,real
klo dah selesai info bg,klo dah selesai info bg,lainnya,real
Bg saye ndk bwa nota ni ndk ape ke ngambek e,bg saye ndk bwa nota ni ndk ape ke ngambek e,lainnya,real
Masalah lain gak ada bang?,masalah lain gak ada bang,lainnya,real
Ndk bsa kek biasanye gtu ke,ndk bsa kek biasanye gtu ke,lainnya,real
waduh,waduh,lainnya,real
Instal ulang dulu yak bg untuk sementara ini,instal ulang dulu yak bg untuk sementara ini,lainnya,real
"Mlm kk, mau nnya kk. Laptop yg td kmi antar (dell) atas nama Nauli udh selesai di cek kn kah kk?",mlm kk mau nnya kk laptop yg td kmi antar dell atas nama nauli udh selesai di cek kn kah kk,lainnya,real
Masih lama kah download nya bang,masih lama kah download nya bang,lainnya,real
"Mba, laptopnya udah selsau ngk ya?",mba laptopnya udah selsau ngk ya,lainnya,real
"Gak jadi bang, uangnya mau dipake keperluan lain dlu",gak jadi bang uangnya mau dipake keperluan lain dlu,lainnya,real
"Tutup jam brp ?
Hujan soalnya",tutup jam brp hujan soalnya,lainnya,real
TF kmn bang,tf kmn bang,lainnya,real
nd bg,nd bg,lainnya,real
Die kire saye yg nyuruh,die kire saye yg nyuruh,lainnya,real
bise ke abng cek kan lcd nye sekalian,bise ke abng cek kan lcd nye sekalian,lainnya,real
laptop ny atas nama martilan,laptop ny atas nama martilan,lainnya,real
Itu termasuk yang bermasalah pas mau di hidup kan itu kah bang?,itu termasuk yang bermasalah pas mau di hidup kan itu kah bang,lainnya,real
Biase ape Nye lah bang ii,biase ape nye lah bang ii,lainnya,real
Terima kasih bg,terima kasih bg,lainnya,real
gausah kalik ya cmn 1 doang,gausah kalik ya cmn doang,lainnya,real
Baik bang saya otw sekarang,baik bang saya otw sekarang,lainnya,real
makasih banyak🙏🏻🙏🏻🙏🏻,makasih banyak,lainnya,real
Tf kmna bg?,tf kmna bg,lainnya,real
Berapa biayanya ya bang,berapa biayanya ya bang,lainnya,real
Ram nya Cuma 2,ram nya cuma,lainnya,real
untuk keyboard ny ada yg lain ndak kak,untuk keyboard ny ada yg lain ndak kak,lainnya,real
ad ongkos lain kah bang pas pengambilan,ad ongkos lain kah bang pas pengambilan,lainnya,real
wifi card ny?,wifi card ny,lainnya,real
tutup JM brp bg,tutup jm brp bg,lainnya,real
saya di supadio soalnya,saya di supadio soalnya,lainnya,real
nanti malm saya ambil ya bg,nanti malm saya ambil ya bg,lainnya,real
jadi gmna tu bg,jadi gmna tu bg,lainnya,real
Tutup smpai jam berapa bg,tutup smpai jam berapa bg,lainnya,real
700 itu udh sama lcd ke belom bang,itu udh sama lcd ke belom bang,lainnya,real
Gada bang hm,gada bang hm,lainnya,real
Hallo bang,hallo bang,lainnya,real
"Baru gitu kah bg depannya, nda pakai yang patah itu lagi ya bg",baru gitu kah bg depannya nda pakai yang patah itu lagi ya bg,lainnya,real
Jadi semua total berapa bng,jadi semua total berapa bng,lainnya,real
"baik kak terimakasih infonya, mungkin malam baru bisa saya ambil",baik kak terimakasih infonya mungkin malam baru bisa saya ambil,lainnya,real
"Waalaikumsalam, tutup jam berapa bang",waalaikumsalam tutup jam berapa bang,lainnya,real
Jadi ape Nye lah bang,jadi ape nye lah bang,lainnya,real
Bang toko ny tutup jam berapa ya bang,bang toko ny tutup jam berapa ya bang,lainnya,real
Baiklah bg nanti kalau jd saya infokn,baiklah bg nanti kalau jd saya infokn,lainnya,real
biarr jakkk,biarr jakkk,lainnya,real
"Kalo emng udh nggak bisa dibetulkan biar saya ambil aja, udah lama juga",kalo emng udh nggak bisa dibetulkan biar saya ambil aja udah lama juga,lainnya,real
benar la bang,benar la bang,lainnya,real
"Waalaikumsalam..
iya baik Kak, sekitar jam 4 lewat saya ke toko ya Kak.
🙏🏻",waalaikumsalam iya baik kak sekitar jam lewat saya ke toko ya kak,lainnya,real
Jadi udah bisa ya kk?,jadi udah bisa ya kk,lainnya,real
Bg,bg,lainnya,real
bercak bercak nye nd bisa hilang ke bang,bercak bercak nye nd bisa hilang ke bang,lainnya,real
Iya min,iya min,lainnya,real
berapa ya kak biaya betulin kaya gitu,berapa ya kak biaya betulin kaya gitu,lainnya,real
yg ndk full nye k bang,yg ndk full nye k bang,lainnya,real
Intinya leptop tu bang yang bermasalah awalnya cuma mau ngidupin nya jak sulit kadang langusng hidup kadang harus di buka tutup-buka tutup dulu baru hidup kata abng saya,intinya leptop tu bang yang bermasalah awalnya cuma mau ngidupin nya jak sulit kadang langusng hidup kadang harus di buka tutupbuka tutup dulu baru hidup kata abng saya,lainnya,real
jadi supaya bisa masuk ke windows nya harus di install ulang ya kak,jadi supaya bisa masuk ke windows nya harus di install ulang ya kak,lainnya,real
Habis berapa itu bg klo di total,habis berapa itu bg klo di total,lainnya,real
"Oiya baik kak, nanti hari ini diambil",oiya baik kak nanti hari ini diambil,lainnya,real
Bang,bang,lainnya,real
Baik bang terimakasi besok bole saya bawa kesitu ya bang,baik bang terimakasi besok bole saya bawa kesitu ya bang,lainnya,real
Bang saya ambil hari minggu atau senin ya bang soal ny lagi ndk ada di ponti,bang saya ambil hari minggu atau senin ya bang soal ny lagi ndk ada di ponti,lainnya,real
tetap yg kmrn bg,tetap yg kmrn bg,lainnya,real
"Soalnya dia klo buka file, atau mau ngetik di word suka loading lama bisa terbuka filenya",soalnya dia klo buka file atau mau ngetik di word suka loading lama bisa terbuka filenya,lainnya,real
baik kk,baik kk,lainnya,real
Gimana Progress labtob sekarang bang??,gimana progress labtob sekarang bang,lainnya,real
ayamayam,ayamayam,lainnya,real
Baik bang terimakasih,baik bang terimakasih,lainnya,real
Ok,ok,lainnya,real
Ok,ok,lainnya,real
Iya Bg. Jadi perbaikannya gimana bg?,iya bg jadi perbaikannya gimana bg,lainnya,real
Berapa biayanya bang?,berapa biayanya bang,lainnya,real
Data nya ilang ga klo instal ulang?,data nya ilang ga klo instal ulang,lainnya,real
Nda ade saye ape2 kan padahal,nda ade saye ape kan padahal,lainnya,real
Jadi emg nd bise sme sekali lh ni ye bang?,jadi emg nd bise sme sekali lh ni ye bang,lainnya,real
baik bg besok siang saya ambil,baik bg besok siang saya ambil,lainnya,real
misi bang,misi bang,lainnya,real
Siapa,siapa,lainnya,real
Baik ditunggu infonya,baik ditunggu infonya,lainnya,real
gapapa,gapapa,lainnya,real
Bisa kurang gak bu?,bisa kurang gak bu,lainnya,real
Baik senin berarti sy ambil bg,baik senin berarti sy ambil bg,lainnya,real
"Bg nnti info ye bg kalau udah.
Saye yg tadi nih bg",bg nnti info ye bg kalau udah saye yg tadi nih bg,lainnya,real
bsk bisa kh diambil?,bsk bisa kh diambil,lainnya,real
Jdi gmne,jdi gmne,lainnya,real
Bg,bg,lainnya,real
test,test,lainnya,real
