text,clean_text,intent,source
itu perlu diinstal ga,itu perlu diinstal ga,lainnya,main
Tapi itu masih bisa di paki ya bg,tapi itu masih bisa di paki ya bg,lainnya,main
Tetap 700 gak kurang juga,tetap gak kurang juga,lainnya,main
Ngape wa nye nda bise di buka ke,ngape wa nye nda bise di buka ke,lainnya,main
saya di supadio soalnya,saya di supadio soalnya,lainnya,main
Ok,ok,lainnya,main
assalamualaikum bg untuk laptop saye gimne tu bg perkembangannye,assalamualaikum bg untuk laptop saye gimne tu bg perkembangannye,lainnya,main
Tapi sekarang pas di cas ndk mau nyala BG laptop nya,tapi sekarang pas di cas ndk mau nyala bg laptop nya,lainnya,main
Leptop yg satunya gimana bg,leptop yg satunya gimana bg,lainnya,main
Baterai e ndk ngpe2 ke bng,baterai e ndk ngpe ke bng,lainnya,main
Kapan bisa di ambil?,kapan bisa di ambil,lainnya,main
Bisa kurang gak bang?,bisa kurang gak bang,lainnya,main
bebas min,bebas min,lainnya,main
Bisa kurang gak pak?,bisa kurang gak pak,lainnya,main
SSD tu supaya nda ngeleg kah,ssd tu supaya nda ngeleg kah,lainnya,main
ly042213 bang,ly bang,lainnya,main
Ndak di update windows 11 ye bang. ada ngefreeze lagi nda  bang pas di cek,ndak di update windows ye bang ada ngefreeze lagi nda bang pas di cek,lainnya,main
yg putih bise bang,yg putih bise bang,lainnya,main
makasih banyak🙏🏻🙏🏻🙏🏻,makasih banyak,lainnya,main
Id upgrade Jak bg,id upgrade jak bg,lainnya,main
Bang laptop saya udh k?,bang laptop saya udh k,lainnya,main
untuk kesalahan ny di situ saja ya kak,untuk kesalahan ny di situ saja ya kak,lainnya,main
Bg laptop nya sudah bisa kah?,bg laptop nya sudah bisa kah,lainnya,main
ada rekomendasi tempat yg bisa nggak ya kak,ada rekomendasi tempat yg bisa nggak ya kak,lainnya,main
"BEGIN:VCARD
VERSION:3.0
N:;Brother Pai;;;
FN:Brother Pai 
TEL;type=CELL;type=VOICE;waid=6281156701235:+62 811-5670-1235
END:VCARD",beginvcard version nbrother pai fnbrother pai teltypecelltypevoicewaid endvcard,lainnya,main
Besok pagi/siang saye ambil bg,besok pagisiang saye ambil bg,lainnya,main
Ok bang,ok bang,lainnya,main
dimana lah tu ye bang,dimana lah tu ye bang,lainnya,main
Bang toko ny tutup jam berapa ya bang,bang toko ny tutup jam berapa ya bang,lainnya,main
Ok bg,ok bg,lainnya,main
yg ndk full nye k bang,yg ndk full nye k bang,lainnya,main
Yg ini🙏🏻,yg ini,lainnya,main
Ok baik Bg,ok baik bg,lainnya,main
belum kah bang,belum kah bang,lainnya,main
saya otw kak,saya otw kak,lainnya,main
kak udh bisa diambil blm laptopnya???,kak udh bisa diambil blm laptopnya,lainnya,main
besok aja ya kak saya ngambil nya saya lagi diluar Pontianak,besok aja ya kak saya ngambil nya saya lagi diluar pontianak,lainnya,main
Baterainya gak bisa dicas,baterainya gak bisa dicas,lainnya,main
Kira–kira kapan bisa diambil pak?,kirakira kapan bisa diambil pak,lainnya,main
Bng ngpe gni ye kmren kan bru d betulkan d stu,bng ngpe gni ye kmren kan bru d betulkan d stu,lainnya,main
Asus Vivobook A416JA terima jual brp kk?,asus vivobook aja terima jual brp kk,lainnya,main
Klw bisa semua semuanya si kak hm,klw bisa semua semuanya si kak hm,lainnya,main
Hallo bang,hallo bang,lainnya,main
Tf kmna bg?,tf kmna bg,lainnya,main
bg besok saye ambek laptop e,bg besok saye ambek laptop e,lainnya,main
Kira–kira kapan bisa diambil pak?,kirakira kapan bisa diambil pak,lainnya,main
waduh,waduh,lainnya,main
Ok,ok,lainnya,main
Klok tk Ade besok lah ye Bg,klok tk ade besok lah ye bg,lainnya,main
Yang ini cari in dulu lah ya,yang ini cari in dulu lah ya,lainnya,main
Sdh selesai apa blm dik Laptopnya,sdh selesai apa blm dik laptopnya,lainnya,main
Ada mines nya gak bang,ada mines nya gak bang,lainnya,main
Mau ambil laptop,mau ambil laptop,lainnya,main
"Nah itu saya nda tau,
Itu dilihat nya darimna?",nah itu saya nda tau itu dilihat nya darimna,lainnya,main
Nanti saya ambil,nanti saya ambil,lainnya,main
Iya,iya,lainnya,main
"Iya lah bang, nanti saya kesana 
Malam abng buka kah?",iya lah bang nanti saya kesana malam abng buka kah,lainnya,main
Iya tq besok saya bawa kesana tq,iya tq besok saya bawa kesana tq,lainnya,main
"Baik bang, nanti sore diambilnya",baik bang nanti sore diambilnya,lainnya,main
Tapi di laptop lain mau,tapi di laptop lain mau,lainnya,main
Oklah bg,oklah bg,lainnya,main
Iya.,iya,lainnya,main
Yaudahh bg saya ambil aja laptop nya,yaudahh bg saya ambil aja laptop nya,lainnya,main
Tibe2 bise die,tibe bise die,lainnya,main
"Baru gitu kah bg depannya, nda pakai yang patah itu lagi ya bg",baru gitu kah bg depannya nda pakai yang patah itu lagi ya bg,lainnya,main
1 ja si,ja si,lainnya,main
klo benerkn hardware kira” brp bg?,klo benerkn hardware kira brp bg,lainnya,main
Okke bg,okke bg,lainnya,main
400 kan bg?,kan bg,lainnya,main
"Bng, gmn lptop sy",bng gmn lptop sy,lainnya,main
"Mba, laptopnya udah selsau ngk ya?",mba laptopnya udah selsau ngk ya,lainnya,main
"kira kira kalo saya mau jual macbook pro 2017 touchbar 15"", dapat di berapa ya?",kira kira kalo saya mau jual macbook pro touchbar dapat di berapa ya,lainnya,main
"Kire"" msh lma ke bg",kire msh lma ke bg,lainnya,main
Jadi semua total berapa bng,jadi semua total berapa bng,lainnya,main
Ok bg,ok bg,lainnya,main
iya kak,iya kak,lainnya,main
kir besok udh selesai ga ya soalnya mau dipake,kir besok udh selesai ga ya soalnya mau dipake,lainnya,main
biarr jakkk,biarr jakkk,lainnya,main
Yg gak bisa apa2 jak kak,yg gak bisa apa jak kak,lainnya,main
ntr kalau mau ambil saya kabarin ya kak,ntr kalau mau ambil saya kabarin ya kak,lainnya,main
iya santai jak kak,iya santai jak kak,lainnya,main
Ok makasih,ok makasih,lainnya,main
Pengerjaan nya,pengerjaan nya,lainnya,main
Ok bu makasih,ok bu makasih,lainnya,main
wa nya jak yang dak bise,wa nya jak yang dak bise,lainnya,main
Toko nya tutup jam brp an bang,toko nya tutup jam brp an bang,lainnya,main
Terima kasih bg,terima kasih bg,lainnya,main
Saye ambil malam bise nd bg? Saye masih di tmpt krja,saye ambil malam bise nd bg saye masih di tmpt krja,lainnya,main
"Bg nnti info ye bg kalau udah.
Saye yg tadi nih bg",bg nnti info ye bg kalau udah saye yg tadi nih bg,lainnya,main
Ok sip,ok sip,lainnya,main
terimakasih kak,terimakasih kak,lainnya,main
Wait,wait,lainnya,main
Jadinya berapa bang ..klau nambah banyak ndk tu bang .,jadinya berapa bang klau nambah banyak ndk tu bang,lainnya,main
Iya bg,iya bg,lainnya,main
Yallah e,yallah e,lainnya,main
Klok Ade motor malam ini saya ambil Bg,klok ade motor malam ini saya ambil bg,lainnya,main
Izin bang mau follow up leptop saya bang atas nama Ade Saputra,izin bang mau follow up leptop saya bang atas nama ade saputra,lainnya,main
Ok bng,ok bng,lainnya,main
Malam ini tutup jam berapa,malam ini tutup jam berapa,lainnya,main
sepaket gimne tu bg?,sepaket gimne tu bg,lainnya,main
Gmna cra nya bg biar dia bsa wifi,gmna cra nya bg biar dia bsa wifi,lainnya,main
Jam 9 saye plg bg..mungkin smpai di stu jam 9 lewat gtu bg..,jam saye plg bgmungkin smpai di stu jam lewat gtu bg,lainnya,main
G,g,lainnya,main
"Hallo maaf kak, kalau ngambil sekarang bisa nggak kak?. Toko nya tutup jam berapa kak?",hallo maaf kak kalau ngambil sekarang bisa nggak kak toko nya tutup jam berapa kak,lainnya,main
Ndk ade di apeapekan bg,ndk ade di apeapekan bg,lainnya,main
misa bg sya kemarin servis leptop ditempat abg atas nama maya leptop ya nd mau hidup lgi,misa bg sya kemarin servis leptop ditempat abg atas nama maya leptop ya nd mau hidup lgi,lainnya,main
Laptopnyaa gimna ya bg?,laptopnyaa gimna ya bg,lainnya,main
ok bntr bg,ok bntr bg,lainnya,main
Sudah selesai service kah?,sudah selesai service kah,lainnya,main
Ok otw,ok otw,lainnya,main
maaf bang laptop ny sy pakai jk dlu🙏🏻,maaf bang laptop ny sy pakai jk dlu,lainnya,main
"Oiya baik kak, nanti hari ini diambil",oiya baik kak nanti hari ini diambil,lainnya,main
Nnti malam atau besok bisa gak,nnti malam atau besok bisa gak,lainnya,main
permisi bang,permisi bang,lainnya,main
Ok,ok,lainnya,main
"Bang, gmn lptopny?",bang gmn lptopny,lainnya,main
Ndk tau juga si bg,ndk tau juga si bg,lainnya,main
Windows udah di update ke bang,windows udah di update ke bang,lainnya,main
baik bg besok siang saya ambil,baik bg besok siang saya ambil,lainnya,main
Bisa kurang gak pak?,bisa kurang gak pak,lainnya,main
Berapa biayanya bang?,berapa biayanya bang,lainnya,main
Bentar ye bang,bentar ye bang,lainnya,main
Baik bang terimakasi besok bole saya bawa kesitu ya bang,baik bang terimakasi besok bole saya bawa kesitu ya bang,lainnya,main
Kira2 sore ini bisa diambil ndk bg?,kira sore ini bisa diambil ndk bg,lainnya,main
tokonya tutup jam berapa ya?,tokonya tutup jam berapa ya,lainnya,main
Oky makasih bang ya,oky makasih bang ya,lainnya,main
bentar ya bang kamek cek,bentar ya bang kamek cek,lainnya,main
Bg udh bise ke atau mash loading,bg udh bise ke atau mash loading,lainnya,main
"Siap, ditunggu infonya",siap ditunggu infonya,lainnya,main
mana bang,mana bang,lainnya,main
"Coba di edit dri situ, kek tambah2 ketikan apa gtu, abistu di save",coba di edit dri situ kek tambah ketikan apa gtu abistu di save,lainnya,main
ohhhh,ohhhh,lainnya,main
Ok,ok,lainnya,main
Besok bukak jam berapa Bg,besok bukak jam berapa bg,lainnya,main
"Oiya kk, sore nya jam berapa ya?",oiya kk sore nya jam berapa ya,lainnya,main
"bg kn kmrn saya nd pakai laptop sy trs pas baru saya pakai hri ini die tu tetap blue screen bg, nah itu tu knp ya",bg kn kmrn saya nd pakai laptop sy trs pas baru saya pakai hri ini die tu tetap blue screen bg nah itu tu knp ya,lainnya,main
Ohh ok bang mksehh infonyee🙏🙏,ohh ok bang mksehh infonyee,lainnya,main
Tapi bole gak di cek kan dlu,tapi bole gak di cek kan dlu,lainnya,main
Jdi gmne,jdi gmne,lainnya,main
Ohhh baik lhh bng,ohhh baik lhh bng,lainnya,main
baik bang saya mau🙏,baik bang saya mau,lainnya,main
kamek sie dolok jak bentar lagi bang,kamek sie dolok jak bentar lagi bang,lainnya,main
tahan jak lok bang,tahan jak lok bang,lainnya,main
ohh gitu ya bg,ohh gitu ya bg,lainnya,main
Nnti barang nya saya ambil ya bg,nnti barang nya saya ambil ya bg,lainnya,main
Tes,tes,lainnya,main
"Duh, ternyata harga laptop baru gak beda jauh, gak jadi ya kak",duh ternyata harga laptop baru gak beda jauh gak jadi ya kak,lainnya,main
"Waduh saya lagi diluar ni bang, tokonya buka sampai jam berapa bang?",waduh saya lagi diluar ni bang tokonya buka sampai jam berapa bang,lainnya,main
bentar kk saya mikir bntarr,bentar kk saya mikir bntarr,lainnya,main
Bentar bang nanyak mamak lok,bentar bang nanyak mamak lok,lainnya,main
"omagat makasih banyak bang, anak ku",omagat makasih banyak bang anak ku,lainnya,main
"Laptop saye ndk mau hidup bang
Setelah di restart die ndk mau idup
Tpi kipas nye bunyi nyaring",laptop saye ndk mau hidup bang setelah di restart die ndk mau idup tpi kipas nye bunyi nyaring,lainnya,main
Maaf bh baru buka hp,maaf bh baru buka hp,lainnya,main
Bisa kurang gak bu?,bisa kurang gak bu,lainnya,main
Siang. Langsung di perbaiki aja bang,siang langsung di perbaiki aja bang,lainnya,main
"Yaudah gpp kak, gak jadi diperbaiki",yaudah gpp kak gak jadi diperbaiki,lainnya,main
Jadi kalau dengan cas ni 650 ya bg,jadi kalau dengan cas ni ya bg,lainnya,main
Ok... Masih,ok masih,lainnya,main
Bisa di ambil kapan setelah smua di servis,bisa di ambil kapan setelah smua di servis,lainnya,main
bsk mungkin pagi atau sore saya ambil laptopnya,bsk mungkin pagi atau sore saya ambil laptopnya,lainnya,main
"Gak jadi bang, uangnya mau dipake keperluan lain dlu",gak jadi bang uangnya mau dipake keperluan lain dlu,lainnya,main
Lepas aja gak masalah kan,lepas aja gak masalah kan,lainnya,main
kapan ya bnag baru selesai,kapan ya bnag baru selesai,lainnya,external
Saya otw kesana bg,saya otw kesana bg,lainnya,main
besok sya ambil yah bg,besok sya ambil yah bg,lainnya,main
"Ok
Bntar",ok bntar,lainnya,main
Sip bang,sip bang,lainnya,main
Tokonya jam berapa tutup ya mba,tokonya jam berapa tutup ya mba,lainnya,main
klo dah selesai info bg,klo dah selesai info bg,lainnya,main
Ok,ok,lainnya,main
Tutup jam brp,tutup jam brp,lainnya,main
Bsokla antar laptop ny bng blm sempat,bsokla antar laptop ny bng blm sempat,lainnya,main
Infokan ya bg kalau dh selesai,infokan ya bg kalau dh selesai,lainnya,main
"Baik terimakasih infonya, saya ambil besok pagi saja",baik terimakasih infonya saya ambil besok pagi saja,lainnya,main
mode malam nya juga gabisa di aktifin,mode malam nya juga gabisa di aktifin,lainnya,main
"laptop yg kemarin nd hidup lagi bang, udah di cas berjam jam jga nd mau hidup",laptop yg kemarin nd hidup lagi bang udah di cas berjam jam jga nd mau hidup,lainnya,main
Berapa biayanya ya bang,berapa biayanya ya bang,lainnya,main
Ok nanti saya ke sana dulu,ok nanti saya ke sana dulu,lainnya,main
"Bang, untuk leptop nya bagaimana yaa?",bang untuk leptop nya bagaimana yaa,lainnya,main
Jujur angkanya sedikit di atas anggaran yang saya siapkan. Apakah masih ada ruang untuk diskon atau negosiasi harga,jujur angkanya sedikit di atas anggaran yang saya siapkan apakah masih ada ruang untuk diskon atau negosiasi harga,lainnya,external
nd bg,nd bg,lainnya,main
Bg saye ndk bwa nota ni ndk ape ke ngambek e,bg saye ndk bwa nota ni ndk ape ke ngambek e,lainnya,main
Die kire saye yg nyuruh,die kire saye yg nyuruh,lainnya,main
Bg toko buka jam berapa?,bg toko buka jam berapa,lainnya,main
laptop ny atas nama martilan,laptop ny atas nama martilan,lainnya,main
Itu termasuk yang bermasalah pas mau di hidup kan itu kah bang?,itu termasuk yang bermasalah pas mau di hidup kan itu kah bang,lainnya,main
Biase ape Nye lah bang ii,biase ape nye lah bang ii,lainnya,main
Nda ade saye ape2 kan padahal,nda ade saye ape kan padahal,lainnya,main
gausah kalik ya cmn 1 doang,gausah kalik ya cmn doang,lainnya,main
Baik bang saya otw sekarang,baik bang saya otw sekarang,lainnya,main
Kan tk pernah d sentoh dri abg betulkan kmren tu,kan tk pernah d sentoh dri abg betulkan kmren tu,lainnya,main
Iya,iya,lainnya,main
Ok kak makasih,ok kak makasih,lainnya,main
Ram nya Cuma 2,ram nya cuma,lainnya,main
"Ok bang, bntr y",ok bang bntr y,lainnya,main
Klw betulin semua sama baterai berapa bng,klw betulin semua sama baterai berapa bng,lainnya,main
Kak apakah habis jumat slesai,kak apakah habis jumat slesai,lainnya,main
"Yaudah gpp kak, gak jadi diperbaiki",yaudah gpp kak gak jadi diperbaiki,lainnya,main
nnti sy ambil laptop ny y,nnti sy ambil laptop ny y,lainnya,main
"waalaikumsalam bang, besok ya",waalaikumsalam bang besok ya,lainnya,main
Klo udh ke baca info ye bg,klo udh ke baca info ye bg,lainnya,main
Bisa kurang gak bang?,bisa kurang gak bang,lainnya,main
"permisi bang, mau nanya",permisi bang mau nanya,lainnya,main
Buka jam brp ?,buka jam brp,lainnya,main
Ada garansi kah bg,ada garansi kah bg,lainnya,main
bole kak perkiraan kapan selesai kk,bole kak perkiraan kapan selesai kk,lainnya,main
SULISTIA123,sulistia,lainnya,main
"laptonya bisa diambil dulu nd kk, klo bisa nnti saya ambil tpi sudh di perbaiki blm",laptonya bisa diambil dulu nd kk klo bisa nnti saya ambil tpi sudh di perbaiki blm,lainnya,main
itu yg dri jakarta blm konfirmasi ya?,itu yg dri jakarta blm konfirmasi ya,lainnya,main
ok bg,ok bg,lainnya,main
"Baik la, otw",baik la otw,lainnya,main
jadi gmn kak udh ada konfirmasi dri jakarta kah berapa harganya?,jadi gmn kak udh ada konfirmasi dri jakarta kah berapa harganya,lainnya,main
Jadi ape Nye lah bang,jadi ape nye lah bang,lainnya,main
okay,okay,lainnya,main
Baiklah bg nanti kalau jd saya infokn,baiklah bg nanti kalau jd saya infokn,lainnya,main
Malam kak,malam kak,lainnya,main
Ohh baik lahh bang,ohh baik lahh bang,lainnya,main
Kalau bise cepat saye bayar lebih bg 😁🙏,kalau bise cepat saye bayar lebih bg,lainnya,main
"Waalaikumsalam..
iya baik Kak, sekitar jam 4 lewat saya ke toko ya Kak.
🙏🏻",waalaikumsalam iya baik kak sekitar jam lewat saya ke toko ya kak,lainnya,main
po juga nd bise ke bg?,po juga nd bise ke bg,lainnya,main
itu ambil ke toko langsung ke bg,itu ambil ke toko langsung ke bg,lainnya,main
bg bisa qris/tf nd?,bg bisa qristf nd,lainnya,main
Jadi gimana,jadi gimana,lainnya,main
Iya min,iya min,lainnya,main
"Katanya udh dibongkar BG, soalnya segelnya dh kebuka?",katanya udh dibongkar bg soalnya segelnya dh kebuka,lainnya,main
gpp,gpp,lainnya,main
