text,label
baik terimakasih infonya saya ambil besok pagi saja,setuju
okke bg,lainnya
bang kalau sama keyboard nya jadi juta ya semua nya,setuju
bg ad biaya tambahan gk,lainnya
oke,setuju
sip bang,lainnya
kalau instal ulang nda hilangkan filenye bg,lainnya
sikat jak bang tpi saye nak nunggu disitok bise ke,setuju
ohh gitu ya bangg,lainnya
kalo boleh tau bang kalo semisalnya bongkar biayanya berapa ya bng apakah nambah,lainnya
ya,lainnya
laptop saye ndk mau hidup bang setelah di restart die ndk mau idup tpi kipas nye bunyi nyaring,lainnya
infokan ya bg kalau dh selesai,lainnya
yang kipas aman bg,lainnya
s kakkk,setuju
kalau service printer disini bisa juga gak bg,batal
bg toko buka jam berapa,lainnya
ok sya kasi tau orng nya dlu ya,setuju
ooh oke kak perbaiki saja ya disitu nanti kl udh selesai kabarin,setuju
coba sore di cek lagi ya,lainnya
alaa bang kenpa nda di bilang kemarin kalau nd bisa ada beberapa file penting belum di pindah ke d saya kira backup data semua bisa di pindah ke d,batal
baik bang,setuju
yg gak bisa apa jak kak,batal
ohh gitu ya bg,lainnya
ok kak makasih,setuju
ok sip lanjut ganti nya kak,setuju
tf kmn bang,lainnya
oke bg terima kasih ya,setuju
dia hidup terus kek temati macam dk kuat ngangkat layarnya,lainnya
baik bang tutup toko jam brp ya,setuju
buka sampe jam brp bg,lainnya
bg besok saye ambek laptop e,batal
daan jadi bg,batal
masih lama kah download nya bang,lainnya
tak bisa kurang lg k,lainnya
oalah hri ini sy kesana bg,lainnya
siang kak jadi gmn kak laptopnya,setuju
bise kurang agik ndak pak dari tu,lainnya
oke bang nanti saya ambil sore,setuju
ooo gitu oke lah bang,setuju
waalaikumussalam oke bang,setuju
mungkin besok baru saya bisa ambil,batal
besok bararti bisa udah saya ambil bang,batal
pagi bang,lainnya
oke bang nanti sore saya kesana,setuju
klw bisa semua semuanya si kak hm,lainnya
ade endk kabel nye jual,lainnya
okey bang nanti kamek konfir masi abang ya,setuju
duet jajan saye tak cukop bg nabung lok saye,batal
daan jadi jak bang,batal
ok bang klo sudah selesai diperbaiki infokan saja ya bang,setuju
ndak jadi,batal
bayarnya bisa transfer nda bang,lainnya
jadi ape nye lah bang,setuju
iya bang,setuju
bagian mesinnya yang bermasalah apa ya bang,lainnya
lanjut jak bg tpi datanya jgn sampai ilang ye bg,setuju
kak nerima jual laptop gaa,lainnya
pengecas nya aman kah bg,lainnya
bercak bercak nye nd bisa hilang ke bang,lainnya
saya dari reformasi,lainnya
bedanya di ganti sama servis apa nya bang,lainnya
alhamdulillah cepat sekali bg saya mungkin belum ambilnya bg nanti pas mau ambil saya kabarin,batal
ndak jadi min,batal
total semua segitu ya boleh terimakasih,lainnya
jambrp tutup toko,lainnya
yaudah gpp pak gak jadi diperbaiki,setuju
baik bang saya mau,setuju
baik tapi malam ini sudah selesaikan pak seperti kesepakatan kita tadi malam,setuju
y bg lanjot jak asal bise main game agik laptopnye,setuju
nd bg,lainnya
kir besok udh selesai ga ya soalnya mau dipake,batal
mcmnye belom dolo lah bang nipis kantong saye,batal
berarti udh gak timbul lagi kan,batal
ssd tu supaya nda ngeleg kah,lainnya
lama gak perbaikannya min,batal
gass kan yak kak saye nak make cepat bah soalnye,setuju
oo iya bg file lama apk nya ada di data d bg,setuju
okeee min inpo klo udah,setuju
agak sorean nnti ya kk,lainnya
yg kabel penyambung nye tdik tuu bang,lainnya
gpp,lainnya
ndk jadi ganti aja kak,setuju
jadi ganti pasta aja,setuju
bg mau tanya leptop nya udh betul belum,batal
bang ada jual laptop harga jutaan gk,lainnya
oke bang baru mau dichat padahal,setuju
okee bang bentar lg ambil,setuju
assalamualaikum kak laptop saya lenovo adav hari lalu ketumpahan air disekitar keyboard esc sampai tombol power hari ini muncul garis garis di bawah kira kira ini ganti lcd berapa ya kak,lainnya
bisa kurang gak pak,batal
okee bg,setuju
siap bg,setuju
jadii itu ga ngaruh ke local disk c kan bang,lainnya
jadi supaya bisa masuk ke windows nya harus di install ulang ya kak,setuju
iya min,setuju
ohh oke bang terima kasih,setuju
iya udh lh,setuju
waalalikumsalam ntar aja setelah magrib ya sekarang nanggung mau keluar,batal
ok jadi bu tolong dikerjain ya,setuju
baik senin berarti sy ambil bg,setuju
nanti saya ambil labtob nya,batal
tapi masih ok buat dipakai y bg,setuju
ohh oke bang untuk harga berapa ya bang,setuju
oke bang intinya dak ke tekan sendiri,setuju
nda bise min duit kamek cuman rbu tok,batal
nanti sore saya ambil laptop nya,batal
besok sya ambil yah bg,batal
bisa ga di aave,lainnya
iya bang asal datanya masih aman,setuju
brrti untuk yg engselnya gak bisa di apa apa in ya,batal
betolkan jak bah asal rapi yak kerjenye,setuju
oke bang nnti sore saya ambil,setuju
cancel bang,batal
bisa tukar tambah ga ya bg,lainnya
kalo diantar bise ndak min nnti pas dah jadi,lainnya
ohh iya makasih kak,setuju
brapa bg,lainnya
bise ndak bang paskan jak lah,lainnya
baik bg besok siang saya ambil,setuju
tak usah,batal
besok saya ambil leptop nya hujan kak,batal
sya konsul dlu sama ortu ternyata gak dibolehin batal pak,batal
nda bisa ya,lainnya
ohhhh,lainnya
semoga baik baik saja,setuju
tibatiba jak bang,lainnya
berapa totalnya kak,lainnya
setelah ini ya kk,lainnya
okeii bg,lainnya
oke bang terima kasih,setuju
yang ini cari in dulu lah ya,lainnya
lcdnya ga bisa kah kak untuk tokohnya yg pesankan untuk saya tapi untuk biayanya berapa ya,lainnya
hari ini bs ambil,lainnya
oke bg saye infokan ke ibu saye dlu ye,setuju
sy otw store bg,setuju
ala kak tak cukop dana saye segitu tu nanti jak la kak,batal
usahakan lah minggu sudah selesai bisa gak min,batal
segera di ambil,setuju
oo iya permisi ya bang kalau hari ini mungkin saya blm bisa ngambil soalnya lagi pergi ngk di pontianak,setuju
hrus instalnulang lagi la ye,lainnya
klo ganti gimana bg bayar lg atau gimana,lainnya
duh ternyata harga laptop baru gak beda jauh gak jadi ya bg,setuju
test,lainnya
waalaikumsalam ini sudah diperbaiki atau belum bg,batal
saya bawa,lainnya
coba tanya temen dlu ya bang mahal jg tnyata,batal
ok jm ya,setuju
okelah bang makasih banyak,lainnya
kdg di kasur si bg,lainnya
tapi saya usahain malam ini kalau bs,lainnya
tunda lok pak nnti mun ade rezeki saye balek agik,batal
setuju kak,setuju
okee bangg,setuju
kak udaa buka belum,batal
assalamualaikum bang ini masih ad garansi servis gak soalnya laptop saya mati lagi tiba tiba gamau hidup,batal
ohhh baik lhh bng,setuju
permisi kakk,lainnya
bg bise nda ye saye minta instal windows yg lama karne saye tak ngerti pake windows yg skrg malah jadi kek gaptek,setuju
okeee kk nnti saya ambil leptop nya,lainnya
mohon maaf bang tapi dana saye ndak mencukupek jadi skip jak,batal
makasi ya bang,lainnya
klo ssd yg bermasalah itu mau di ganti ap gmn bg,lainnya
kire msh lma ke bg,lainnya
besok buka ke bang,batal
oke bang lanjut perbaiki,setuju
po juga nd bise ke bg,lainnya
okee bang,setuju
siang trimakasih nnti sy ambil,lainnya
baik bang jd besok udh bisa di ambil ya bang,setuju
yaudahh bg saya ambil aja laptop nya,lainnya
baik lh besok ya saya ambil,setuju
okok siap bg,setuju
mungkin malam nanti saya ambil ya sebelum jam,batal
kak boleh minta tolong copotkan ssd penyimpanan nggak saya mau ambil laptop nya sekarang,lainnya
mau minta tolong liatkan lagi,lainnya
halo sepertinya saya mau ambil dulu aja brg nya,batal
siap bangnanti saya kesanabisa transfer ga ya,setuju
klo isi pes msh smpat ga bg,lainnya
boleh di tf,lainnya
laptop nya boleh diambil kapan bg,lainnya
bisaaa negoo gkk minn harga serviss nya,lainnya
ok baik bg,setuju
diambil bsok ya bang,lainnya
ok tq,setuju
soalnya mau ngasih tau ortu kan ini diperbaiki jg yg layar hitamnya kan yg ga bisa tampil dn ga diganti lcd yg baru jadi biar tau apa aja gt yg di ganti,setuju
baik bang saya otw sekarang,setuju
jadi gmn bg udh di periksa kah laptopnya,setuju
gass jak bang tapi kamek mintak selesaikan hari itok juak ye,setuju
nanti malam saya ambil,batal
boleh bg ganti aja bg,lainnya
info jak ye kalau udh selesai,lainnya
jadi biaya nya kan bang,setuju
bisa kurang gak bu,batal
ok tq besok sy ambil bang,setuju
lanjut jak pak tlong dicek gak kipasnye sekalian,setuju
bntr ye bang maaf sy tnya ibu sy dlu,lainnya
toko nya tutup jam brp an bang,lainnya
kenapa bisa begitu ya bang sebelumnya masi normal,lainnya
min bisa instal spss,lainnya
oke bg terimakasih nnti saya ambl laptop nya,setuju
oke bg nanti laptop ny saya ambil ke toko,setuju
bang kamek ambil nya boleh kah atau sore kamis karna posisi lagi di mempawah bang ambik data lapangan,lainnya
otw bg,setuju
yg ini berharga bg,lainnya
ptt,lainnya
ok otw,setuju
buka sampe jam berapa bg,lainnya
jadi itu skrg bisa hidup ka bang masih,setuju
jadi semua total berapa bng,setuju
okeh bg,setuju
selamat pagi baik bang terima kasih apakah laptopnya sudah bisa diambil hari ini,setuju
tokooo tutup jam brpaa yaa minn,lainnya
iya bng siap,setuju
dengan layar nye juga ye bg,lainnya
malam ya,lainnya
bolee bang,lainnya
klo benerkn hardware kira brp bg,lainnya
lain kali aja bang,batal
min laptop nya atas nama suwardana udah jadi kah min,setuju
iya bang jdi,setuju
assalamualaikum warahmatullahi wabarokatuh,lainnya
besok ya bg sepulang kuliah,batal
berapa biayanya ya bang,lainnya
besok saja bisa tidak bang saya lagi ada urusan jadi tidak bisa malam ini mengambilnya,setuju
okee aman,setuju
kira kira jam brapa bisa ambil bang,lainnya
ao nanti sore saya ambil,batal
kirakira kapan bisa diambil pak,lainnya
smlm masih bisa,lainnya
budget sya gak nyampe segitu bang batal aja lah,batal
bise tolong nd bang,lainnya
okela bang nanti saya pikirkan dulu klo laptopnya disiitu dulu ndk apa kan bang,batal
bentar ye bang,lainnya
iya kak,setuju
aduh lari dari budget saye bg kumpulkan duet lok saye ni,batal
boleh tuh bang santai jak lok besok saye ambek,setuju
okedeh besok sy antar lptopny bng,batal
oke bang makasih,setuju
sya ada deadline tugas besok,batal
oke bg saya lagi ga bisa ambil simpan kan dulu gapapa,setuju
oke bang beso ya saya ambilnya,setuju
mahal gak ye bang bise lebih murah kah,lainnya
ok bntr bg,setuju
lewat lok bang nunggu gajian bulan depan baru bise,batal
batal yak bang,batal
sudah aman kh itu bang,lainnya
baik bang terimakasih,setuju
udah bise download ke bg,lainnya
oke ditunggu info lanjutan setelah cek ulang trims,setuju
okey kak infokn kl sudah selesai diperbaiki,setuju
nanti di ambil lagi hujan,batal
msih,lainnya
waw cepet banget,lainnya
oh iya bang,setuju
ok pak,setuju
cancell ajaa min,batal
info aja bg kalau ada laptop yg harga juta ya,lainnya
gimana bg udh ada jawaban kh dri teknisi nya,lainnya
bg saye ambek besok jak lah laptopnye duitnye kurang,batal
besok saya ambil,batal
besok jak kak,batal
okey bang ntar sore sye ambill,setuju
yg lain tidak ada kah bg,batal
nanti aja dlu bu blm ada uang,batal
kurang ribu bise ndak min,lainnya
maaf bg saye ambek jak laptopnye belom ade duit,batal
saya ambil besok ya bang,batal
nd usah bang agek butuh makai banyak duet,batal
ok deh kk,setuju
ganti ssd gak kurang lagi,batal
okey bang terimakasih,setuju
nda bise kurang hargenye tu bang,lainnya
kalau senin udah bisa dipakai bisa min diperbaiki,lainnya
bisa kurang lagi gak kak keyboard sama layarnya,batal
oke minnnn,setuju
iya kak soalnya mau pulang kampung,setuju
maaf ye bang saye cancel lok karne duetnye ndak cukop,batal
iya lah bang nanti saya kesana malam abng buka kah,setuju
jujur angkanya sedikit di atas anggaran yang saya siapkan apakah masih ada ruang untuk diskon atau negosiasi harga,lainnya
terimakasihhhh bang senin yang saya ambilll,lainnya
iya kak laptop nya yg lenovo thiknpad ya kak atas nama emil,setuju
ok sipp,setuju
ok,setuju
bise kureng ke bg hargenye tu,lainnya
batal pak,batal
baik kak terimakasih infonya mungkin malam baru bisa saya ambil,setuju
malam ini bisa gak kak,batal
okei kak nanti saya ambil kesitu yaa,batal
iy bg,setuju
kalau ngk sempat malam ini besok pagi aja saya ambil,batal
ok kpn jadinya,setuju
sbntr ya sdh di ayani,lainnya
jadi kalau dengan cas ni ya bg,setuju
pengaturan app nya yang mana bang,lainnya
bang sya ambil nya nunggu hujan reda aja klo ga besok ya,batal
untuk kesalahan ny di situ saja ya kak,lainnya
bg ada garansinya nda ya kalau udah ganti frame,lainnya
oke kak terimakasi,setuju
okee lanjutkan service nya bang kalau udah selesai konfirmasi yaa,setuju
ndk bng soalnye ndk ngerti lepaskan e gmne,lainnya
okee kak saya ambil di hari jumat ya kak,setuju
mahal sekali ya kak huhu,batal
oh gitu kak btw kalau jual laptop bekas disini bisa gak kak,batal
buka jam brp,lainnya
iyaa kak,lainnya
okee,setuju
oke siap bang makasih bang,setuju
misalnya lcd diperbaikiganti biayanya berapa bang,lainnya
batal,batal
besok ye bang sya ambil,batal
nd bise kurang ke bang,lainnya
ada biaya tambahan lg kah,lainnya
bg udh bise ke atau mash loading,lainnya
oke makasih mas,setuju
okee kk entar saya ambil,setuju
nda usah bang,batal
ok sip lanjut ganti nya bu,setuju
nda usah,batal
owh iya bang boleh mau nnyk bang apa ad garansi nya,setuju
aok kak gass jak bise kelar ari itok ndak kak,setuju
oke bg sudah bsa,setuju
tungguu yaa bang saya nanya orang tua duluu,lainnya
ok bang nnti malam bisa saya ambil ga sekitar jam setengah,setuju
okee makasii bg,setuju
ohhh baik lhh bng perkiraan butuh berapa lama yaa sebelum lebaran udah bisa jadi gak bng,setuju
macbook bisa min,lainnya
iya baik bang,setuju
bise ambil mlm ni kn bg,lainnya
budget sya gak nyampe segitu bg batal aja lah,batal
malam ya ok,setuju
tapi itu masih bisa di paki ya bg,lainnya
nanti yaa bang bapak belum on soal nya nanti kamek konfirmasi abang kalau ganti keyboard nya juga,batal
wah diluar budget kak batal ya,batal
gpp dh bg gak usah diperbaiki laptop e udh lama juga,batal
kerjekan jak lok bang nnti saye transfer dpnye,setuju
sya konsul dlu sama ortu ternyata gak dibolehin batal kak,batal
wah diluar budget pak batal ya,batal
gaada obeng bng hehe besok saya ksna ya,batal
okei kak besok kalo udh selesai kabarin aja yaa kak terima kasih,batal
oklah bg,lainnya
ndak bise diteruskan bang kamek belom gajian,batal
turunkan sikit bise lah bang hargenye,lainnya
waalaikumsalam oke nanti saya ke sana,setuju
hee maaf gak bisa bng lagi ada mata kuliah tdi bng full lagii ga main hp jga bng kalo besok bisa ga bng datangnya,batal
udah bisa di ambil kah bg laptop nya,lainnya
permisi bang,lainnya
lanjot bang,setuju
baik bg nanti saya info kembali soal jadi atau nga nya ya bg,setuju
tapi bole gak di cek kan dlu,batal
insyaallah besok sy ambil bg,batal
itu ssdnya upgrade atau ganti yg sama kak,lainnya
oke kak kalo gitu brarti masi bisa di pakai normal walau tanpa baterai ya yg penting sambil di charger,setuju
kalau besok buka besok kamek ambil nya bang takut ga keburu malam ni ambil nya,batal
keyboard agik y bang,lainnya
maaf baru aktif bang,lainnya
coba tanya temen dlu ya bu mahal jg tnyata,batal
tutup nya sekitar jam berapa ya kak,lainnya
aok min kerjekan jak lok tpi jangan diinstal ulang ye datanye,setuju
besok buka jam brpa ya,batal
baik pak nanti agak sore saya ambil kesitu,setuju
jam berape saye bise ke toko bang,lainnya
itulah,lainnya
