Message Body,Teks_Bersih,Label
Itu termasuk yang bermasalah pas mau di hidup kan itu kah bang?,itu termasuk yang bermasalah pas mau di hidup kan itu kah bang,setuju
Bang perbaikannya ada garansi engak kata abng saya,bang perbaikannya ada garansi engak kata abng saya,setuju
Oke bang lanjut perbaiki,oke bang lanjut perbaiki,setuju
Intinya leptop tu bang yang bermasalah awalnya cuma mau ngidupin nya jak sulit kadang langusng hidup kadang harus di buka tutup-buka tutup dulu baru hidup kata abng saya,intinya leptop tu bang yang bermasalah awalnya cuma mau ngidupin nya jak sulit kadang langusng hidup kadang harus di buka tutupbuka tutup dulu baru hidup kata abng saya,setuju
Ooo gitu oke lah bang,ooo gitu oke lah bang,setuju
"Bang izin bertanya kira"" Kapan selesai nya yaa?",bang izin bertanya kira kapan selesai nya yaa,tanya_status
Soalnya Senin pagi mau di pake 😅,soalnya senin pagi mau di pake,setuju
Bang besok dah bisa di ambil engak? 🙏,bang besok dah bisa di ambil engak,setuju
Gimana bang belum bisa kah?,gimana bang belum bisa kah,tanya_status
Baik bang saya otw sekarang,baik bang saya otw sekarang,setuju
Bang untuk pembayaran nya bisa tf engak?,bang untuk pembayaran nya bisa tf engak,setuju
Ok bg,ok bg,setuju
"boleh bang di betulkan aja, prosesnya cepat ga ya kira’?",boleh bang di betulkan aja prosesnya cepat ga ya kira,setuju
"rabu udah bisa betul blm bang, soalnya saya mau uts sorenya pake laptop",rabu udah bisa betul blm bang soalnya saya mau uts sorenya pake laptop,setuju
okee bang,okee bang,setuju
oke bang,oke bang,setuju
file nya ga ilang kan bang?,file nya ga ilang kan bang,setuju
nanti malam saya ambil,nanti malam saya ambil,setuju
oke,oke,setuju
saya ambil besok ya bang,saya ambil besok ya bang,setuju
malam ini saya ambil ya bg laptopnya,malam ini saya ambil ya bg laptopnya,setuju
tutup jam brp bg?,tutup jam brp bg,umum_teknis
"Terima kasih telah menghubungi kami dengan Ade Saputra Perumahan, membantu masyarakat untuk memiliki perumahan yang di inginkan ya.",terima kasih telah menghubungi kami dengan ade saputra perumahan membantu masyarakat untuk memiliki perumahan yang di inginkan ya,setuju
Oke baik Laksanakan,oke baik laksanakan,setuju
Soalnya Kalu sore ini masih ad kegiatan,soalnya kalu sore ini masih ad kegiatan,setuju
Oh oke siap laksanakan.,oh oke siap laksanakan,setuju
Insyaallah malm sy ambil nya bang,insyaallah malm sy ambil nya bang,setuju
Assalamualaikum warahmatullahi wabarokatuh,assalamualaikum warahmatullahi wabarokatuh,setuju
Izin bang mau follow up leptop saya bang atas nama Ade Saputra,izin bang mau follow up leptop saya bang atas nama ade saputra,setuju
Oke bang,oke bang,setuju
"Selamat malam bang maaf sblmnya menganggu, saya mau nanya nih kenapa ya smart gesture scroll 2 fingers d laptop saya jd nda berfungsi ya semenjak di install ulang kemarin, awalnya saya pikir karena laptop saya belum tersambung k internet makanya ada instalan ny blm selesai, tapi setelah kemarin tersambung k internet dan saya cb² lihat di laman pengaturan nya ttp nda bisa berfungsi itu kenapa ya?",selamat malam bang maaf sblmnya menganggu saya mau nanya nih kenapa ya smart gesture scroll 2 fingers d laptop saya jd nda berfungsi ya semenjak di install ulang kemarin awalnya saya pikir karena laptop saya belum tersambung k internet makanya ada instalan ny blm selesai tapi setelah kemarin tersambung k internet dan saya cb lihat di laman pengaturan nya ttp nda bisa berfungsi itu kenapa ya,tanya_status
"Nah itu saya nda tau,
Itu dilihat nya darimna?",nah itu saya nda tau itu dilihat nya darimna,setuju
Oke bg,oke bg,setuju
Yaudahh bg saya ambil aja laptop nya,yaudahh bg saya ambil aja laptop nya,setuju
Oke bang saya jemput ke sana,oke bang saya jemput ke sana,setuju
"Baik bang, nanti sore diambilnya",baik bang nanti sore diambilnya,setuju
oke bg,oke bg,setuju
Ok bang,ok bang,setuju
"Oke bang, baru mau dichat padahal",oke bang baru mau dichat padahal,setuju
Jam 7 lewat nnti saya kesana bang ambilnya,jam 7 lewat nnti saya kesana bang ambilnya,setuju
Yang positif service yang kecil dulu bg🙏🏻,yang positif service yang kecil dulu bg,setuju
Insyaallah nanti saya ambil bg,insyaallah nanti saya ambil bg,setuju
Bedanya di ganti sama servis apa nya bang,bedanya di ganti sama servis apa nya bang,setuju
oke bentar ya bang tanya bapak dulu,oke bentar ya bang tanya bapak dulu,setuju
kalau masalah tambah ram nya itu berapa ya bang biaya nya ?,kalau masalah tambah ram nya itu berapa ya bang biaya nya,setuju
inii saja dulu bang di perbaiki masalah tambah ram nanti ya bang soal nya bapak belum ada di rumah,inii saja dulu bang di perbaiki masalah tambah ram nanti ya bang soal nya bapak belum ada di rumah,tanya_status
jadi biaya nya 700 kan bang ?,jadi biaya nya 700 kan bang,setuju
untuk speker sama mesin nya ?,untuk speker sama mesin nya,setuju
kalau ganti keyboard nya berapa bang ?,kalau ganti keyboard nya berapa bang,setuju
nanti yaa bang bapak belum on soal nya nanti kamek konfirmasi abang kalau ganti keyboard nya juga,nanti yaa bang bapak belum on soal nya nanti kamek konfirmasi abang kalau ganti keyboard nya juga,tanya_status
"yang bagian mesin sama speker nya saja dulu bang kalau gitu ga buru” sih bang, nanti tunggu bapak on kamek kabarin abang ya, jangan servis dulu gapapa bang siapa tau nanti bapak suruh ganti juga kebybord nya jadi ga sering bongkar pasang",yang bagian mesin sama speker nya saja dulu bang kalau gitu ga buru sih bang nanti tunggu bapak on kamek kabarin abang ya jangan servis dulu gapapa bang siapa tau nanti bapak suruh ganti juga kebybord nya jadi ga sering bongkar pasang,setuju
okey bang nanti kamek konfir masi abang ya,okey bang nanti kamek konfir masi abang ya,setuju
bang kalau sama keyboard nya jadi 1 juta ya semua nya ?,bang kalau sama keyboard nya jadi 1 juta ya semua nya,setuju
oke bang boleh bang ganti keyboard nya juga,oke bang boleh bang ganti keyboard nya juga,setuju
"jadi speker, mesin, keyboard yang di perbaiki ya bang ?",jadi speker mesin keyboard yang di perbaiki ya bang,setuju
iya bang besok ngambil nya boleh kah tapi kalau nanti malam uang nya cepat di tf kamek ambil nanti malam bang,iya bang besok ngambil nya boleh kah tapi kalau nanti malam uang nya cepat di tf kamek ambil nanti malam bang,setuju
malam tutup jam berapa ya bang ?,malam tutup jam berapa ya bang,setuju
oh iya bang yang kemaren sekalian ubah tampilan menu nya ya bang,oh iya bang yang kemaren sekalian ubah tampilan menu nya ya bang,setuju
oke bang makasih,oke bang makasih,setuju
sip bang,sip bang,setuju
misi bang udah selesai kah bang ?,misi bang udah selesai kah bang,tanya_status
oke bang,oke bang,setuju
takut data nya ilang,takut data nya ilang,setuju
bang kamek ambil nya  boleh kah atau sore kamis karna posisi lagi di mempawah bang ambik data lapangan,bang kamek ambil nya boleh kah atau sore kamis karna posisi lagi di mempawah bang ambik data lapangan,setuju
oh boleh bang kalau gitu yang penting data nya ga ilang bang,oh boleh bang kalau gitu yang penting data nya ga ilang bang,setuju
okey bang maaf ya bang,okey bang maaf ya bang,setuju
iya bang ndapapa bang,iya bang ndapapa bang,setuju
okey bang besok buka kah bang ? soal nya malam ni kamek balik pnk bang,okey bang besok buka kah bang soal nya malam ni kamek balik pnk bang,setuju
kalau besok buka besok kamek ambil nya bang takut ga keburu malam ni ambil nya,kalau besok buka besok kamek ambil nya bang takut ga keburu malam ni ambil nya,setuju
okey bang maaf ya bang besok pasti kamek ambil bang,okey bang maaf ya bang besok pasti kamek ambil bang,setuju
bang jam berapa tutup ?,bang jam berapa tutup,umum_teknis
oke bang,oke bang,setuju
mau tanya di bang,mau tanya di bang,setuju
kok data” di laptop nya kosong ya bang ?,kok data di laptop nya kosong ya bang,setuju
bentar ya bang kamek cek,bentar ya bang kamek cek,setuju
okey bang,okey bang,setuju
ad bang makasih ya,ad bang makasih ya,setuju
Oke bag,oke bag,setuju
"baik lh, besok ya saya ambil🙏🏼",baik lh besok ya saya ambil,setuju
stlh ini saya ambil ya kk,stlh ini saya ambil ya kk,setuju
setelah ini ya kk🥲,setelah ini ya kk,setuju
perbaikannya berapa lama ya bang?,perbaikannya berapa lama ya bang,setuju
bagian mesinnya yang bermasalah apa ya bang?,bagian mesinnya yang bermasalah apa ya bang,setuju
Okee bang,okee bang,setuju
ini sistemnya tf nanti ya bang? apa tf dulu?,ini sistemnya tf nanti ya bang apa tf dulu,setuju
iyaa boleh bang,iyaa boleh bang,setuju
oke sore ya kak,oke sore ya kak,setuju
besok jak kak,besok jak kak,setuju
iya santai jak kak,iya santai jak kak,setuju
Lama gak perbaikannya min,lama gak perbaikannya min,setuju
Usahakan lah minggu sudah selesai bisa gak min,usahakan lah minggu sudah selesai bisa gak min,tanya_status
Iya min,iya min,setuju
Iya kak,iya kak,setuju
Kalau ganti keyboard brapa kak,kalau ganti keyboard brapa kak,umum_teknis
Kalau ganti keyboard lama gak,kalau ganti keyboard lama gak,umum_teknis
Bisa kurang lagi gak kak keyboard sama layarnya,bisa kurang lagi gak kak keyboard sama layarnya,setuju
Iya lah kak,iya lah kak,setuju
Ganti ajalah kak sekalian,ganti ajalah kak sekalian,umum_teknis
Nanti kalau sudah selesai kasi tau ya kak,nanti kalau sudah selesai kasi tau ya kak,tanya_status
Iya nanti kasi tau aja ya kak kalau udah selesai,iya nanti kasi tau aja ya kak kalau udah selesai,tanya_status
Iya kak,iya kak,setuju
Nanti dulu ya kak saya cari gojek dulu,nanti dulu ya kak saya cari gojek dulu,setuju
Besok buka gak min pagi2,besok buka gak min pagi2,setuju
Okeee kk nnti saya ambil leptop nya,okeee kk nnti saya ambil leptop nya,setuju
ok sya kasi tau orng nya dlu ya,ok sya kasi tau orng nya dlu ya,setuju
boleh katanya bg,boleh katanya bg,setuju
ok,ok,setuju
ada biaya tambahan lg kah,ada biaya tambahan lg kah,setuju
tanyak orng nya dlu ya,tanyak orng nya dlu ya,setuju
ganti katanya bg,ganti katanya bg,setuju
okee,okee,setuju
buka smpe jamber bg,buka smpe jamber bg,umum_teknis
itu ada tipe nya nda si bg,itu ada tipe nya nda si bg,setuju
apa semua nya sma,apa semua nya sma,setuju
ohh instal laptop kmren brp ya bg,ohh instal laptop kmren brp ya bg,setuju
besok buka jamber,besok buka jamber,setuju
mlm ttp jam 9 juga ya,mlm ttp jam 9 juga ya,setuju
gmn bg laptop nya,gmn bg laptop nya,setuju
kir besok udh selesai ga ya soalnya mau dipake,kir besok udh selesai ga ya soalnya mau dipake,tanya_status
brp total ganti nya bg,brp total ganti nya bg,setuju
oke gas bg,oke gas bg,setuju
yauda ganti dlu aja bg,yauda ganti dlu aja bg,setuju
ganti bg,ganti bg,umum_teknis
keyboard nya,keyboard nya,setuju
gausah kalik ya cmn 1 doang,gausah kalik ya cmn 1 doang,setuju
jdi total nya brp bg,jdi total nya brp bg,setuju
okee,okee,setuju
klo dah selesai info bg,klo dah selesai info bg,tanya_status
ok bg,ok bg,setuju
bg kok laptop nya udh ga idup sma skli,bg kok laptop nya udh ga idup sma skli,setuju
udh ga bisa dipake lg ya,udh ga bisa dipake lg ya,setuju
"Siang, oke",siang oke,setuju
Ndk jadi ganti aja kak,ndk jadi ganti aja kak,umum_teknis
Salah kak maksudnya jangan ganti,salah kak maksudnya jangan ganti,setuju
Makanya saya tidak ganti kak,makanya saya tidak ganti kak,setuju
Ok tq.,ok tq,setuju
Tutup jam berapa.,tutup jam berapa,umum_teknis
Malam ya. Ok,malam ya ok,setuju
Ini laptop black lagi ya. Bisa di setting lagi. Balik lagi ke awal ne,ini laptop black lagi ya bisa di setting lagi balik lagi ke awal ne,setuju
Coba sore di cek lagi ya.,coba sore di cek lagi ya,setuju
Ok tq,ok tq,setuju
Ganti ssd 128 gak kurang lagi.,ganti ssd 128 gak kurang lagi,umum_teknis
650 ya,650 ya,setuju
HHD internalnya bisa di casingin dak,hhd internalnya bisa di casingin dak,setuju
Brp casingnya,brp casingnya,setuju
Ok tq,ok tq,setuju
Ok,ok,setuju
Tolong dibersihkan bagian dalam ya.,tolong dibersihkan bagian dalam ya,setuju
Pagi. Apa sdh selesai.,pagi apa sdh selesai,tanya_status
Malam bang.. Hardisk yang ekternalnya kok gak bisa kebaca ya dari kemarin ya.,malam bang hardisk yang ekternalnya kok gak bisa kebaca ya dari kemarin ya,setuju
Iya tq besok saya bawa kesana tq,iya tq besok saya bawa kesana tq,setuju
Ok tq besok sy ambil bang,ok tq besok sy ambil bang,setuju
Oke bangg,oke bangg,setuju
Saya dari reformasi,saya dari reformasi,setuju
okeii bg,okeii bg,setuju
bg saya tf byr ny,bg saya tf byr ny,setuju
bg laptopnya blue screen lagi,bg laptopnya blue screen lagi,setuju
oke bg saya bawa ke sana,oke bg saya bawa ke sana,setuju
kmrn 450 ya bg keyboard ny?,kmrn 450 ya bg keyboard ny,setuju
laptonya udh boleh diambil kah bg,laptonya udh boleh diambil kah bg,setuju
ok bg nnt bpk saya yg ambil,ok bg nnt bpk saya yg ambil,setuju
"bg kn kmrn saya nd pakai laptop sy trs pas baru saya pakai hri ini die tu tetap blue screen bg, nah itu tu knp ya",bg kn kmrn saya nd pakai laptop sy trs pas baru saya pakai hri ini die tu tetap blue screen bg nah itu tu knp ya,setuju
itu karna laptopnya panas jg bisa kah bg?,itu karna laptopnya panas jg bisa kah bg,setuju
kira” brp ya bg btlkn ny,kira brp ya bg btlkn ny,setuju
soalny tiap saya tinggl bntr laptop tu tibe” blue screen trs file ny tu terapus yg udh saya kerjakan,soalny tiap saya tinggl bntr laptop tu tibe blue screen trs file ny tu terapus yg udh saya kerjakan,setuju
oke bg,oke bg,setuju
setelah matkul saya bawa ya bg,setelah matkul saya bawa ya bg,setuju
ohh gitu ya bg,ohh gitu ya bg,setuju
nah klo mislny biar dia ga kepanasan tu gmn bg cara mencegahnya?,nah klo mislny biar dia ga kepanasan tu gmn bg cara mencegahnya,setuju
jujur saya bru pertama kli kenak gini bg😭,jujur saya bru pertama kli kenak gini bg,setuju
okei bg terimakasih ya,okei bg terimakasih ya,setuju
bsk mungkin pagi atau sore saya ambil laptopnya,bsk mungkin pagi atau sore saya ambil laptopnya,setuju
Oke Bg,oke bg,setuju
Oke bg malam ya,oke bg malam ya,setuju
iyaa okeey,iyaa okeey,setuju
jambrp tutup toko?,jambrp tutup toko,setuju
selesai ibadah saya ambil,selesai ibadah saya ambil,tanya_status
Ok,ok,setuju
"besok saya ambil leptop nya ,hujan kak",besok saya ambil leptop nya hujan kak,setuju
Ok siap,ok siap,setuju
"Waalaikumsalam..
iya baik Kak, sekitar jam 4 lewat saya ke toko ya Kak.
🙏🏻",waalaikumsalam iya baik kak sekitar jam 4 lewat saya ke toko ya kak,setuju
Ok,ok,setuju
Kapan bisa diambil,kapan bisa diambil,tanya_status
Ok kpn jadinya,ok kpn jadinya,setuju
Ok,ok,setuju
Sdh selesai apa blm dik Laptopnya,sdh selesai apa blm dik laptopnya,tanya_status
Ok,ok,setuju
Oke bg saye infokan ke ibu saye dlu ye,oke bg saye infokan ke ibu saye dlu ye,setuju
Kapan bisa di ambil?,kapan bisa di ambil,tanya_status
Oke bg info jak nanti ye,oke bg info jak nanti ye,setuju
Oke bg,oke bg,setuju
Besok pagi/siang saye ambil bg,besok pagisiang saye ambil bg,setuju
Ok bentar lagi saya ke situ,ok bentar lagi saya ke situ,setuju
Sip bang,sip bang,setuju
"Waalaikumsalam, ini sudah diperbaiki atau belum bg?",waalaikumsalam ini sudah diperbaiki atau belum bg,tanya_status
Oh oke sebentar ya,oh oke sebentar ya,setuju
Ini masalah kalau diangkat sedikit langsung eror kan ya layar laptopnya?,ini masalah kalau diangkat sedikit langsung eror kan ya layar laptopnya,setuju
"Bg dibenerin aja lh
Kira2 ada garansiny ndk bg?",bg dibenerin aja lh kira2 ada garansiny ndk bg,umum_teknis
Okke bg,okke bg,setuju
Oke,oke,setuju
Okke sore ya,okke sore ya,setuju
Okok mas,okok mas,setuju
"selamat malam juga bang, tadi saya udah kasih tau orang tua untuk biayanya. Kata bapak mama saya servicenya ditunda dulu jadi besok siang saya ambil laptopnya di toko",selamat malam juga bang tadi saya udah kasih tau orang tua untuk biayanya kata bapak mama saya servicenya ditunda dulu jadi besok siang saya ambil laptopnya di toko,setuju
okee bangg,okee bangg,setuju
"Salam sehat. Terimakasih telah menghubungi kami dr.Budhi Febrian PJ Sp.N AIFO-K. 

Untuk berkonsultasi, silahkan tinggalkan pesan chat atau pesan suara terkait jenis keluhan gejala penyakit, riwayat penyakit dan riwayat berobat/ obat yang sudah diminum. 

Kami akan segera analisa dan menjawab pertanyaan tersebut serta menjadwalkan telepon atau video call bila diperlukan. 

Kami siap membantu agar lekas sembuh.
Insyaa Allah.",salam sehat terimakasih telah menghubungi kami drbudhi febrian pj spn aifok untuk berkonsultasi silahkan tinggalkan pesan chat atau pesan suara terkait jenis keluhan gejala penyakit riwayat penyakit dan riwayat berobat obat yang sudah diminum kami akan segera analisa dan menjawab pertanyaan tersebut serta menjadwalkan telepon atau video call bila diperlukan kami siap membantu agar lekas sembuh insyaa allah,setuju
"*Program Cegah Stroke*
Jangan sepelekan tekanan darah tinggi berulang lebih dari 130/90mmhg disertai dengan nyeri kepala (migrain berulang) maupun pusing berputar (vertigo) atau ngambang (vertigo central) bila disertai dengan riwayat pandangan gelap atau berkunang kunang atau kesemutan (neuropati) artinya aliran darah ke otak kurang lancar (vertebrobasilar artery sindrome) gejala awal stroke.
Terlebih ada riwayat gula darah tinggi >150mg/dl (diabetes), segera konsultasi. Biaya GRATIS/ Seikhlasnya.",program cegah stroke jangan sepelekan tekanan darah tinggi berulang lebih dari 13090mmhg disertai dengan nyeri kepala migrain berulang maupun pusing berputar vertigo atau ngambang vertigo central bila disertai dengan riwayat pandangan gelap atau berkunang kunang atau kesemutan neuropati artinya aliran darah ke otak kurang lancar vertebrobasilar artery sindrome gejala awal stroke terlebih ada riwayat gula darah tinggi 150mgdl diabetes segera konsultasi biaya gratis seikhlasnya,setuju
"Total semua segitu ya, Boleh. Terimakasih",total semua segitu ya boleh terimakasih,setuju
Garansi berapa lama?,garansi berapa lama,umum_teknis
Bisa diambil malam ini jam berapa ya paling malam?,bisa diambil malam ini jam berapa ya paling malam,setuju
Baik ditunggu infonya,baik ditunggu infonya,setuju
"Saya baru bisa ambil sekarang, kalau besok pagi atau siang bisa diambil jam berapa?",saya baru bisa ambil sekarang kalau besok pagi atau siang bisa diambil jam berapa,setuju
"Baik terimakasih infonya, saya ambil besok pagi saja",baik terimakasih infonya saya ambil besok pagi saja,setuju
"Baik, Tapi malam ini sudah selesaikan pak seperti kesepakatan kita tadi malam ?",baik tapi malam ini sudah selesaikan pak seperti kesepakatan kita tadi malam,tanya_status
"Siap, malam ya bang.",siap malam ya bang,setuju
sore bentar yaa kak,sore bentar yaa kak,setuju
bisa nego ga kk,bisa nego ga kk,umum_teknis
500 nda bisa ya,500 nda bisa ya,setuju
550 berati ya,550 berati ya,setuju
bole kak perkiraan kapan selesai kk,bole kak perkiraan kapan selesai kk,tanya_status
iya kak soalnya mau pulang kampung,iya kak soalnya mau pulang kampung,setuju
"siap kak, nnti balik kesini lagi saya ambil nya kk",siap kak nnti balik kesini lagi saya ambil nya kk,setuju
Ok,ok,setuju
"Bg, mo tanya laptop saya kira² selesai kapan ye?",bg mo tanya laptop saya kira selesai kapan ye,tanya_status
Okeoke,okeoke,setuju
"Bg, saya ambil laptop sore hr ini ya. Dkt² magrib kek nya",bg saya ambil laptop sore hr ini ya dkt magrib kek nya,setuju
baik bang saya mau🙏,baik bang saya mau,setuju
kira² laptopnya bisa diambil kapan ya?,kira laptopnya bisa diambil kapan ya,tanya_status
baik pak nanti agak sore saya ambil kesitu,baik pak nanti agak sore saya ambil kesitu,setuju
besok aja ya kak saya ngambil nya saya lagi diluar Pontianak,besok aja ya kak saya ngambil nya saya lagi diluar pontianak,setuju
agak malaman ya bang sy ngambilnya,agak malaman ya bang sy ngambilnya,setuju
"Siang bang, jumatan kah hr ini? Jm brp buka lagi?",siang bang jumatan kah hr ini jm brp buka lagi,umum_teknis
"Oke lh bg, tapi itu kira2 matot atau casnya bg yg bermasalah kira2",oke lh bg tapi itu kira2 matot atau casnya bg yg bermasalah kira2,setuju
